open_time,open,high,low,close,volume
2025-01-21 20:00:00,17.09,17.15,16.91,16.96,1194.0108
2025-01-21 21:00:00,16.99,17.15,16.81,17.04,1959.9312
2025-01-21 22:00:00,17.05,17.17,16.96,17.1,661.0872
2025-01-21 23:00:00,17.08,17.08,16.78,16.92,2087.2237
2025-01-22 00:00:00,16.91,16.99,16.73,16.96,1646.5757
2025-01-22 01:00:00,16.95,16.96,16.75,16.79,919.4873
2025-01-22 02:00:00,16.78,16.95,16.71,16.87,1725.1482
2025-01-22 03:00:00,16.88,16.94,16.81,16.83,770.471
2025-01-22 04:00:00,16.86,16.89,16.68,16.81,573.2196
2025-01-22 05:00:00,16.81,16.95,16.77,16.88,1500.6421
2025-01-22 06:00:00,16.86,16.92,16.77,16.87,539.7058
2025-01-22 07:00:00,16.87,16.88,16.7,16.72,766.6785
2025-01-22 08:00:00,16.72,16.75,16.55,16.74,832.9361
2025-01-22 09:00:00,16.74,16.85,16.67,16.74,812.009
2025-01-22 10:00:00,16.73,16.93,16.65,16.84,834.7328
2025-01-22 11:00:00,16.85,17.08,16.83,17.05,928.458
2025-01-22 12:00:00,17.1,17.14,16.91,17.0,645.9061
2025-01-22 13:00:00,17.0,17.01,16.78,16.78,829.1656
2025-01-22 14:00:00,16.81,17.0,16.74,16.9,1122.5762
2025-01-22 15:00:00,16.89,16.95,16.69,16.78,847.6506
2025-01-22 16:00:00,16.78,16.93,16.67,16.87,1742.9652
2025-01-22 17:00:00,16.85,16.98,16.82,16.9,744.7877
2025-01-22 18:00:00,16.91,16.95,16.62,16.65,754.8227
2025-01-22 19:00:00,16.62,16.77,16.61,16.66,891.639
2025-01-22 20:00:00,16.66,16.73,16.57,16.6,627.132
2025-01-22 21:00:00,16.6,16.66,16.51,16.59,485.5623
2025-01-22 22:00:00,16.6,16.63,16.44,16.44,652.4145
2025-01-22 23:00:00,16.46,16.58,16.34,16.5,2579.3285
2025-01-23 00:00:00,16.5,16.6,16.43,16.55,1138.3562
2025-01-23 01:00:00,16.54,16.56,16.25,16.27,1851.9128
2025-01-23 02:00:00,16.27,16.38,16.13,16.25,4050.1282
2025-01-23 03:00:00,16.23,16.4,16.23,16.28,801.1832
2025-01-23 04:00:00,16.27,16.31,16.12,16.2,634.445
2025-01-23 05:00:00,16.2,16.27,16.16,16.26,898.7012
2025-01-23 06:00:00,16.24,16.27,16.1,16.12,772.3557
2025-01-23 07:00:00,16.12,16.35,16.1,16.33,569.8301
2025-01-23 08:00:00,16.33,16.35,16.1,16.1,1645.3186
2025-01-23 09:00:00,16.1,16.15,15.99,16.0,1934.8158
2025-01-23 10:00:00,16.01,16.06,15.85,15.92,554.7608
2025-01-23 11:00:00,15.91,16.08,15.9,16.0,876.6669
2025-01-23 12:00:00,16.0,16.03,15.85,15.95,1720.3853
2025-01-23 13:00:00,15.95,16.16,15.92,16.13,1312.9394
2025-01-23 14:00:00,16.12,16.51,16.04,16.35,3305.9513
2025-01-23 15:00:00,16.34,16.42,16.05,16.23,1726.2917
2025-01-23 16:00:00,16.22,16.52,16.21,16.21,719.8659
2025-01-23 17:00:00,16.21,16.31,16.07,16.31,1262.7936
2025-01-23 18:00:00,16.29,16.35,16.0,16.0,582.6322
2025-01-23 19:00:00,16.01,16.08,15.74,15.81,1141.4433
