open_time,open,high,low,close,volume
2025-01-21 20:00:00,1.391,1.394,1.379,1.387,31717.87
2025-01-21 21:00:00,1.387,1.397,1.377,1.393,27953.93
2025-01-21 22:00:00,1.393,1.396,1.381,1.387,20305.96
2025-01-21 23:00:00,1.386,1.388,1.37,1.377,58458.11
2025-01-22 00:00:00,1.377,1.389,1.369,1.387,42276.92
2025-01-22 01:00:00,1.387,1.387,1.36,1.362,38494.03
2025-01-22 02:00:00,1.361,1.38,1.355,1.372,36632.89
2025-01-22 03:00:00,1.373,1.382,1.368,1.372,16088.62
2025-01-22 04:00:00,1.372,1.382,1.364,1.38,202118.8
2025-01-22 05:00:00,1.381,1.391,1.373,1.373,76453.58
2025-01-22 06:00:00,1.374,1.382,1.37,1.379,23703.03
2025-01-22 07:00:00,1.379,1.381,1.368,1.373,21236.55
2025-01-22 08:00:00,1.373,1.379,1.359,1.379,34815.8
2025-01-22 09:00:00,1.378,1.39,1.371,1.386,24801.37
2025-01-22 10:00:00,1.385,1.392,1.378,1.388,62280.89
2025-01-22 11:00:00,1.388,1.399,1.384,1.395,84524.91
2025-01-22 12:00:00,1.395,1.402,1.386,1.391,25422.68
2025-01-22 13:00:00,1.388,1.389,1.369,1.372,18505.31
2025-01-22 14:00:00,1.371,1.387,1.361,1.38,40024.96
2025-01-22 15:00:00,1.379,1.386,1.362,1.374,45645.34
2025-01-22 16:00:00,1.372,1.38,1.36,1.372,41985.87
2025-01-22 17:00:00,1.373,1.385,1.369,1.379,60104.15
2025-01-22 18:00:00,1.38,1.381,1.341,1.346,145211.15
2025-01-22 19:00:00,1.347,1.363,1.345,1.348,117932.41
2025-01-22 20:00:00,1.348,1.37,1.347,1.352,166339.13
2025-01-22 21:00:00,1.352,1.361,1.345,1.347,138654.89
2025-01-22 22:00:00,1.347,1.355,1.338,1.339,67269.18
2025-01-22 23:00:00,1.34,1.349,1.335,1.344,18428.63
2025-01-23 00:00:00,1.344,1.349,1.336,1.341,13844.64
2025-01-23 01:00:00,1.34,1.342,1.324,1.325,12149.29
2025-01-23 02:00:00,1.325,1.329,1.315,1.322,14036.34
2025-01-23 03:00:00,1.322,1.338,1.319,1.329,10390.43
2025-01-23 04:00:00,1.33,1.332,1.315,1.319,17358.05
2025-01-23 05:00:00,1.319,1.334,1.319,1.332,10552.9
2025-01-23 06:00:00,1.33,1.331,1.318,1.32,19430.54
