open_time,open,high,low,close,volume
2025-01-21 20:00:00,6.287,6.297,6.231,6.279,62782.79
2025-01-21 21:00:00,6.28,6.295,6.225,6.264,115493.35
2025-01-21 22:00:00,6.262,6.304,6.236,6.247,102343.72
2025-01-21 23:00:00,6.251,6.254,6.197,6.24,61757.91
2025-01-22 00:00:00,6.239,6.272,6.207,6.27,39355.69
2025-01-22 01:00:00,6.262,6.266,6.183,6.193,41341.19
2025-01-22 02:00:00,6.192,6.251,6.172,6.237,39572.67
2025-01-22 03:00:00,6.238,6.265,6.219,6.229,86217.85
2025-01-22 04:00:00,6.23,6.24,6.181,6.207,33661.45
2025-01-22 05:00:00,6.205,6.259,6.201,6.201,44723.92
2025-01-22 06:00:00,6.201,6.227,6.184,6.216,41022.17
2025-01-22 07:00:00,6.218,6.224,6.157,6.163,45151.48
2025-01-22 08:00:00,6.163,6.188,6.106,6.188,169947.67
2025-01-22 09:00:00,6.188,6.265,6.172,6.248,199034.69
2025-01-22 10:00:00,6.249,6.33,6.211,6.285,293498.9
2025-01-22 11:00:00,6.285,6.331,6.249,6.3,780174.52
2025-01-22 12:00:00,6.3,6.332,6.267,6.274,86063.82
2025-01-22 13:00:00,6.273,6.273,6.194,6.209,124913.07
2025-01-22 14:00:00,6.208,6.252,6.17,6.212,237726.53
2025-01-22 15:00:00,6.21,6.274,6.174,6.21,106634.26
2025-01-22 16:00:00,6.211,6.284,6.171,6.26,147076.33
2025-01-22 17:00:00,6.262,6.285,6.24,6.275,106392.95
2025-01-22 18:00:00,6.276,6.298,6.15,6.169,108020.68
2025-01-22 19:00:00,6.169,6.273,6.165,6.226,90198.44
2025-01-22 20:00:00,6.229,6.29,6.228,6.272,85773.2
2025-01-22 21:00:00,6.272,6.285,6.194,6.231,80924.28
2025-01-22 22:00:00,6.229,6.274,6.183,6.185,75692.75
2025-01-22 23:00:00,6.184,6.22,6.157,6.201,59921.94
2025-01-23 00:00:00,6.201,6.222,6.162,6.181,68315.78
