open_time,open,high,low,close,volume
2025-01-21 20:00:00,37.09,37.15,36.86,37.11,68463.16
2025-01-21 21:00:00,37.11,37.2,36.84,37.14,90585.42
2025-01-21 22:00:00,37.13,37.37,37.02,37.03,65088.56
2025-01-21 23:00:00,37.03,37.04,36.64,36.95,99305.5
2025-01-22 00:00:00,36.96,37.3,36.83,37.24,65289.68
2025-01-22 01:00:00,37.23,37.26,36.73,36.78,40822.95
2025-01-22 02:00:00,36.78,37.06,36.69,37.03,26845.51
2025-01-22 03:00:00,37.03,37.32,37.01,37.16,51840.38
2025-01-22 04:00:00,37.17,37.28,36.89,37.14,39821.63
2025-01-22 05:00:00,37.13,37.39,36.91,36.93,49404.79
2025-01-22 06:00:00,36.93,37.07,36.75,36.97,33653.34
2025-01-22 07:00:00,36.97,37.04,36.8,36.85,41929.04
2025-01-22 08:00:00,36.86,36.95,36.5,36.84,72064.78
2025-01-22 09:00:00,36.84,36.95,36.64,36.86,37267.9
2025-01-22 10:00:00,36.85,37.21,36.63,37.17,53837.18
2025-01-22 11:00:00,37.17,37.62,37.05,37.55,83661.19
2025-01-22 12:00:00,37.56,37.77,37.29,37.3,69757.17
2025-01-22 13:00:00,37.3,37.32,36.69,36.8,81575.29
2025-01-22 14:00:00,36.8,37.28,36.55,37.01,134549.71
2025-01-22 15:00:00,37.02,37.25,36.73,36.9,53045.92
2025-01-22 16:00:00,36.9,37.05,36.55,36.99,92363.34
2025-01-22 17:00:00,36.99,37.39,36.95,37.34,54646.36
2025-01-22 18:00:00,37.35,37.49,36.67,36.73,69870.76
2025-01-22 19:00:00,36.74,37.44,36.72,37.21,104655.38
2025-01-22 20:00:00,37.22,37.46,36.99,37.04,116402.72
2025-01-22 21:00:00,37.04,37.34,36.73,37.15,81827.45
2025-01-22 22:00:00,37.15,37.4,36.83,36.84,44925.44
2025-01-22 23:00:00,36.85,36.93,36.58,36.8,63296.86
2025-01-23 00:00:00,36.8,36.96,36.51,36.58,66027.5
2025-01-23 01:00:00,36.59,36.68,36.09,36.21,81306.98
2025-01-23 02:00:00,36.21,36.24,35.75,35.98,90864.08
2025-01-23 03:00:00,35.98,36.34,35.87,36.07,37837.29
2025-01-23 04:00:00,36.07,36.15,35.54,35.63,77715.22
2025-01-23 05:00:00,35.63,35.91,35.62,35.75,46908.34
2025-01-23 06:00:00,35.74,35.83,35.4,35.49,51897.37
2025-01-23 07:00:00,35.49,35.69,35.27,35.68,75680.22
2025-01-23 08:00:00,35.69,35.69,35.17,35.22,73076.39
2025-01-23 09:00:00,35.21,35.41,35.03,35.12,51414.07
2025-01-23 10:00:00,35.12,35.3,34.92,35.09,62489.58
2025-01-23 11:00:00,35.09,35.42,35.01,35.23,60048.35
2025-01-23 12:00:00,35.23,35.24,34.88,34.98,61308.68
2025-01-23 13:00:00,34.98,35.53,34.78,35.41,109400.52
2025-01-23 14:00:00,35.4,36.31,35.21,35.94,199468.96
2025-01-23 15:00:00,35.94,36.08,35.14,35.93,322298.18
2025-01-23 16:00:00,35.94,36.61,35.81,35.82,197675.92
2025-01-23 17:00:00,35.81,35.92,35.48,35.87,103987.04
2025-01-23 18:00:00,35.87,35.98,35.27,35.28,47997.95
2025-01-23 19:00:00,35.29,35.3,34.72,34.89,98873.14
2025-01-23 20:00:00,34.89,35.81,34.77,35.18,447014.27
2025-01-23 21:00:00,35.18,35.28,34.64,34.92,130461.51
2025-01-23 22:00:00,34.92,35.65,34.84,35.58,122315.37
2025-01-23 23:00:00,35.59,35.85,35.45,35.56,46917.11
2025-01-24 00:00:00,35.56,35.72,34.92,34.95,70131.6
2025-01-24 01:00:00,34.94,35.14,34.73,34.85,50840.11
2025-01-24 02:00:00,34.85,34.94,34.6,34.65,68159.4
2025-01-24 03:00:00,34.64,35.21,34.56,35.02,82537.6
2025-01-24 04:00:00,35.01,35.42,34.81,35.35,57529.01
2025-01-24 05:00:00,35.34,36.26,35.28,36.25,103562.21
2025-01-24 06:00:00,36.25,36.35,35.82,35.86,123311.35
2025-01-24 07:00:00,35.87,36.02,35.56,35.79,65058.46
