open_time,open,high,low,close,volume
2025-02-06 13:00:00,1.0,13.387,1.0,12.696,36220049.779
2025-02-06 14:00:00,12.698,15.5,11.62,11.877,14016263.588
2025-02-06 15:00:00,11.881,12.1,8.6,8.883,10298961.543
2025-02-06 16:00:00,8.873,9.82,8.73,9.085,6138155.782
2025-02-06 17:00:00,9.091,9.849,8.772,9.153,2784924.772
2025-02-06 18:00:00,9.152,9.18,7.35,7.588,4935834.046
2025-02-06 19:00:00,7.588,8.154,7.461,7.8,2435101.074
2025-02-06 20:00:00,7.801,7.875,6.781,7.339,3574654.214
2025-02-06 21:00:00,7.338,8.199,7.2,7.675,3365748.477
2025-02-06 22:00:00,7.668,8.42,7.47,8.012,2886513.033
2025-02-06 23:00:00,8.012,8.73,7.837,8.717,2710294.139
2025-02-07 00:00:00,8.717,9.234,7.748,7.879,3978560.898
2025-02-07 01:00:00,7.891,8.302,7.66,8.111,1411306.778
2025-02-07 02:00:00,8.11,8.199,7.783,7.88,935149.463
2025-02-07 03:00:00,7.877,8.2,7.83,8.181,707669.196
2025-02-07 04:00:00,8.189,8.198,7.718,7.766,881359.597
2025-02-07 05:00:00,7.759,7.981,7.39,7.777,1653914.537
2025-02-07 06:00:00,7.777,7.778,7.381,7.496,901510.952
2025-02-07 07:00:00,7.496,7.725,7.488,7.572,755148.112
2025-02-07 08:00:00,7.572,7.573,7.21,7.326,938131.64
2025-02-07 09:00:00,7.326,7.75,7.305,7.669,1141648.842
2025-02-07 10:00:00,7.669,7.86,7.54,7.636,693041.37
2025-02-07 11:00:00,7.638,7.712,7.459,7.588,682817.049
2025-02-07 12:00:00,7.585,7.614,7.359,7.526,666611.1
2025-02-07 13:00:00,7.527,8.18,7.401,8.026,2181116.964
2025-02-07 14:00:00,8.026,8.093,7.61,7.861,1762951.414
2025-02-07 15:00:00,7.862,7.997,7.603,7.797,1457328.019
2025-02-07 16:00:00,7.795,8.55,7.719,8.124,2027007.204
2025-02-07 17:00:00,8.111,8.214,7.769,8.108,1121268.805
2025-02-07 18:00:00,8.112,8.342,8.011,8.132,992801.174
2025-02-07 19:00:00,8.13,8.26,7.856,7.906,645507.643
2025-02-07 20:00:00,7.906,8.19,7.705,7.843,1069575.666
2025-02-07 21:00:00,7.843,8.105,7.61,7.705,912764.92
2025-02-07 22:00:00,7.701,7.754,7.372,7.559,541739.97
2025-02-07 23:00:00,7.559,7.804,7.507,7.7,587006.787
2025-02-08 00:00:00,7.7,7.79,7.114,7.208,930255.296
2025-02-08 01:00:00,7.209,7.288,6.85,6.984,1434518.417
2025-02-08 02:00:00,6.982,7.002,6.708,6.943,717988.232
2025-02-08 03:00:00,6.943,7.113,6.832,6.866,609601.094
2025-02-08 04:00:00,6.866,6.996,6.51,6.612,1081739.463
2025-02-08 05:00:00,6.611,6.62,6.321,6.531,1028574.723
2025-02-08 06:00:00,6.531,6.69,6.4,6.45,627280.104
2025-02-08 07:00:00,6.449,6.482,6.226,6.425,813584.888
2025-02-08 08:00:00,6.422,6.595,6.322,6.47,548956.275
2025-02-08 09:00:00,6.467,6.622,6.403,6.466,517151.944
2025-02-08 10:00:00,6.465,6.8,6.408,6.55,636565.177
2025-02-08 11:00:00,6.549,6.601,6.42,6.537,448252.472
2025-02-08 12:00:00,6.535,6.6,6.444,6.508,476635.8
2025-02-08 13:00:00,6.509,6.781,6.452,6.599,771634.275
2025-02-08 14:00:00,6.6,6.698,6.345,6.443,996493.792
2025-02-08 15:00:00,6.445,6.488,6.231,6.324,980223.282
2025-02-08 16:00:00,6.321,6.339,5.841,5.898,1835875.793
2025-02-08 17:00:00,5.899,6.085,5.89,5.985,993434.53
2025-02-08 18:00:00,5.987,6.026,5.881,5.996,561105.554
2025-02-08 19:00:00,5.997,6.076,5.935,5.998,528930.78
2025-02-08 20:00:00,5.996,6.188,5.996,6.046,624724.886
2025-02-08 21:00:00,6.045,6.085,5.944,6.075,409612.236
2025-02-08 22:00:00,6.071,6.103,5.751,5.815,590170.633
2025-02-08 23:00:00,5.815,6.111,5.81,6.053,575120.111
2025-02-09 00:00:00,6.053,6.514,5.887,6.208,1729476.128
2025-02-09 01:00:00,6.207,6.248,6.059,6.247,681380.609
2025-02-09 02:00:00,6.247,6.248,6.069,6.093,399416.144
2025-02-09 03:00:00,6.095,6.283,6.037,6.229,577744.333
2025-02-09 04:00:00,6.23,6.271,6.126,6.136,286166.672
2025-02-09 05:00:00,6.138,6.14,5.94,5.976,379776.603
