open_time,open,high,low,close,volume
2025-01-21 20:00:00,2.232,2.237,2.207,2.218,108238.67
2025-01-21 21:00:00,2.218,2.235,2.212,2.232,96958.08
2025-01-21 22:00:00,2.23,2.239,2.218,2.223,57925.37
2025-01-21 23:00:00,2.223,2.228,2.204,2.219,135015.92
2025-01-22 00:00:00,2.219,2.241,2.212,2.241,89270.95
2025-01-22 01:00:00,2.237,2.237,2.21,2.214,54840.2
2025-01-22 02:00:00,2.214,2.238,2.208,2.237,52534.62
2025-01-22 03:00:00,2.237,2.248,2.228,2.233,88457.34
2025-01-22 04:00:00,2.232,2.248,2.229,2.247,108859.63
2025-01-22 05:00:00,2.245,2.259,2.235,2.235,116032.91
2025-01-22 06:00:00,2.235,2.245,2.219,2.23,110995.24
2025-01-22 07:00:00,2.23,2.23,2.209,2.21,92105.51
2025-01-22 08:00:00,2.213,2.219,2.195,2.219,152063.85
2025-01-22 09:00:00,2.217,2.217,2.187,2.197,460628.18
2025-01-22 10:00:00,2.197,2.201,2.181,2.194,203541.05
2025-01-22 11:00:00,2.193,2.219,2.193,2.212,130939.14
2025-01-22 12:00:00,2.213,2.224,2.201,2.205,84237.72
2025-01-22 13:00:00,2.204,2.205,2.178,2.181,119648.45
2025-01-22 14:00:00,2.183,2.209,2.174,2.192,231160.58
2025-01-22 15:00:00,2.192,2.202,2.175,2.187,180379.03
2025-01-22 16:00:00,2.187,2.198,2.173,2.192,107174.24
2025-01-22 17:00:00,2.192,2.203,2.187,2.197,74317.58
2025-01-22 18:00:00,2.195,2.206,2.166,2.169,174380.0
2025-01-22 19:00:00,2.17,2.194,2.169,2.178,148590.6
2025-01-22 20:00:00,2.179,2.189,2.175,2.176,100890.55
2025-01-22 21:00:00,2.176,2.18,2.164,2.173,122080.4
2025-01-22 22:00:00,2.171,2.18,2.154,2.155,92275.56
2025-01-22 23:00:00,2.155,2.161,2.145,2.151,168937.22
2025-01-23 00:00:00,2.151,2.156,2.139,2.145,117333.35
2025-01-23 01:00:00,2.144,2.154,2.133,2.135,153605.26
2025-01-23 02:00:00,2.135,2.139,2.121,2.136,127214.9
2025-01-23 03:00:00,2.135,2.151,2.131,2.138,63253.85
2025-01-23 04:00:00,2.137,2.142,2.117,2.124,147891.82
2025-01-23 05:00:00,2.124,2.135,2.117,2.119,179488.94
2025-01-23 06:00:00,2.119,2.125,2.103,2.106,242233.86
2025-01-23 07:00:00,2.106,2.131,2.101,2.13,80411.12
2025-01-23 08:00:00,2.131,2.131,2.106,2.11,94206.74
2025-01-23 09:00:00,2.109,2.122,2.1,2.105,120172.45
2025-01-23 10:00:00,2.105,2.111,2.092,2.098,124772.46
2025-01-23 11:00:00,2.098,2.111,2.092,2.105,89200.7
2025-01-23 12:00:00,2.104,2.11,2.087,2.093,124176.57
2025-01-23 13:00:00,2.093,2.127,2.084,2.12,174295.02
2025-01-23 14:00:00,2.121,2.172,2.103,2.159,323966.33
2025-01-23 15:00:00,2.159,2.169,2.128,2.162,669424.31
2025-01-23 16:00:00,2.162,2.192,2.159,2.161,307358.4
2025-01-23 17:00:00,2.159,2.171,2.14,2.167,176595.19
2025-01-23 18:00:00,2.167,2.171,2.128,2.129,111827.22
2025-01-23 19:00:00,2.128,2.132,2.102,2.108,144684.22
2025-01-23 20:00:00,2.11,2.163,2.105,2.135,712048.7
2025-01-23 21:00:00,2.133,2.139,2.107,2.119,203803.37
2025-01-23 22:00:00,2.119,2.16,2.116,2.158,157991.35
2025-01-23 23:00:00,2.159,2.172,2.149,2.156,134220.7
2025-01-24 00:00:00,2.157,2.168,2.119,2.121,132168.46
2025-01-24 01:00:00,2.121,2.135,2.112,2.114,158016.98
2025-01-24 02:00:00,2.116,2.121,2.095,2.096,234435.17
2025-01-24 03:00:00,2.098,2.128,2.092,2.113,188939.15
2025-01-24 04:00:00,2.112,2.141,2.103,2.139,134395.73
2025-01-24 05:00:00,2.139,2.172,2.131,2.171,335949.38
2025-01-24 06:00:00,2.171,2.174,2.143,2.15,177454.6
2025-01-24 07:00:00,2.151,2.201,2.151,2.187,534605.76
2025-01-24 08:00:00,2.187,2.193,2.171,2.189,170514.25
2025-01-24 09:00:00,2.187,2.193,2.169,2.177,99457.49
2025-01-24 10:00:00,2.175,2.185,2.166,2.183,231344.07
2025-01-24 11:00:00,2.182,2.186,2.174,2.183,93666.07
2025-01-24 12:00:00,2.184,2.191,2.172,2.183,133717.3
2025-01-24 13:00:00,2.183,2.195,2.165,2.168,110272.41
2025-01-24 14:00:00,2.169,2.192,2.163,2.178,240951.66
2025-01-24 15:00:00,2.18,2.187,2.14,2.159,172114.32
2025-01-24 16:00:00,2.159,2.16,2.138,2.14,70268.01
2025-01-24 17:00:00,2.14,2.162,2.133,2.154,108182.44
2025-01-24 18:00:00,2.153,2.158,2.135,2.139,186181.59
2025-01-24 19:00:00,2.14,2.143,2.125,2.132,141484.51
2025-01-24 20:00:00,2.132,2.142,2.109,2.11,212557.19
2025-01-24 21:00:00,2.111,2.124,2.106,2.115,121253.71
2025-01-24 22:00:00,2.114,2.116,2.1,2.1,200502.45
2025-01-24 23:00:00,2.1,2.103,2.092,2.098,117356.15
2025-01-25 00:00:00,2.098,2.107,2.073,2.073,413707.39
2025-01-25 01:00:00,2.073,2.099,2.071,2.09,93385.56
2025-01-25 02:00:00,2.089,2.102,2.084,2.098,107564.24
2025-01-25 03:00:00,2.098,2.119,2.092,2.115,121705.36
2025-01-25 04:00:00,2.115,2.115,2.093,2.094,50783.96
2025-01-25 05:00:00,2.093,2.105,2.087,2.095,89527.09
2025-01-25 06:00:00,2.095,2.104,2.083,2.088,83727.31
2025-01-25 07:00:00,2.087,2.09,2.081,2.086,84135.33
2025-01-25 08:00:00,2.086,2.097,2.078,2.082,120764.42
2025-01-25 09:00:00,2.084,2.085,2.072,2.074,119548.33
2025-01-25 10:00:00,2.075,2.102,2.068,2.093,293261.27
2025-01-25 11:00:00,2.093,2.106,2.088,2.101,90253.32
2025-01-25 12:00:00,2.101,2.101,2.082,2.093,54416.14
2025-01-25 13:00:00,2.094,2.109,2.089,2.103,153119.53
2025-01-25 14:00:00,2.103,2.106,2.089,2.105,71507.85
2025-01-25 15:00:00,2.105,2.125,2.101,2.111,233250.59
2025-01-25 16:00:00,2.111,2.124,2.104,2.117,126836.43
2025-01-25 17:00:00,2.117,2.118,2.1,2.117,91539.72
2025-01-25 18:00:00,2.117,2.128,2.113,2.125,94682.46
2025-01-25 19:00:00,2.126,2.135,2.122,2.13,73576.68
2025-01-25 20:00:00,2.132,2.138,2.122,2.123,84048.26
2025-01-25 21:00:00,2.123,2.127,2.117,2.123,54677.02
2025-01-25 22:00:00,2.124,2.135,2.117,2.121,73052.9
2025-01-25 23:00:00,2.121,2.125,2.106,2.11,99516.61
2025-01-26 00:00:00,2.11,2.126,2.106,2.118,115242.01
2025-01-26 01:00:00,2.117,2.126,2.11,2.112,116518.47
2025-01-26 02:00:00,2.111,2.112,2.103,2.11,70381.66
2025-01-26 03:00:00,2.11,2.127,2.108,2.12,65197.85
2025-01-26 04:00:00,2.119,2.131,2.114,2.125,69032.86
2025-01-26 05:00:00,2.126,2.127,2.113,2.118,44942.21
2025-01-26 06:00:00,2.119,2.119,2.107,2.11,35778.08
2025-01-26 07:00:00,2.111,2.117,2.107,2.115,42349.4
2025-01-26 08:00:00,2.116,2.121,2.108,2.111,66973.95
2025-01-26 09:00:00,2.111,2.111,2.096,2.099,163095.26
2025-01-26 10:00:00,2.099,2.104,2.095,2.104,38125.31
2025-01-26 11:00:00,2.105,2.107,2.101,2.106,60043.01
2025-01-26 12:00:00,2.106,2.107,2.095,2.103,148208.71
2025-01-26 13:00:00,2.103,2.111,2.081,2.087,475076.65
2025-01-26 14:00:00,2.087,2.088,2.047,2.068,877191.34
2025-01-26 15:00:00,2.067,2.076,2.063,2.068,212382.67
2025-01-26 16:00:00,2.068,2.076,2.059,2.073,132755.93
2025-01-26 17:00:00,2.074,2.087,2.071,2.082,87639.06
2025-01-26 18:00:00,2.082,2.114,2.077,2.105,563801.43
2025-01-26 19:00:00,2.106,2.107,2.093,2.094,89016.46
2025-01-26 20:00:00,2.095,2.098,2.071,2.075,145947.03
2025-01-26 21:00:00,2.074,2.075,2.052,2.052,206106.44
2025-01-26 22:00:00,2.053,2.063,2.038,2.046,171716.02
2025-01-26 23:00:00,2.044,2.044,1.99,1.997,650653.63
2025-01-27 00:00:00,1.997,2.005,1.969,1.98,583341.95
2025-01-27 01:00:00,1.98,1.986,1.963,1.973,289418.41
2025-01-27 02:00:00,1.973,1.978,1.936,1.947,926177.0
2025-01-27 03:00:00,1.946,1.97,1.942,1.953,160930.21
2025-01-27 04:00:00,1.952,1.952,1.924,1.927,399100.54
2025-01-27 05:00:00,1.928,1.931,1.888,1.905,915341.96
2025-01-27 06:00:00,1.904,1.913,1.875,1.878,414872.31
2025-01-27 07:00:00,1.879,1.883,1.809,1.849,1562876.97
2025-01-27 08:00:00,1.849,1.849,1.806,1.842,1006674.47
2025-01-27 09:00:00,1.843,1.869,1.838,1.863,550331.38
2025-01-27 10:00:00,1.862,1.864,1.828,1.829,429493.6
2025-01-27 11:00:00,1.829,1.864,1.829,1.85,246339.63
2025-01-27 12:00:00,1.851,1.892,1.847,1.888,409300.7
2025-01-27 13:00:00,1.889,1.915,1.877,1.879,449269.44
2025-01-27 14:00:00,1.879,1.918,1.876,1.911,384075.06
2025-01-27 15:00:00,1.913,1.926,1.899,1.917,222586.99
2025-01-27 16:00:00,1.917,1.93,1.891,1.895,237647.35
2025-01-27 17:00:00,1.894,1.905,1.88,1.887,185649.35
2025-01-27 18:00:00,1.887,1.903,1.878,1.884,152382.43
2025-01-27 19:00:00,1.885,1.903,1.885,1.9,83415.24
2025-01-27 20:00:00,1.9,1.95,1.9,1.946,213709.76
2025-01-27 21:00:00,1.945,1.968,1.937,1.943,226271.55
2025-01-27 22:00:00,1.943,1.958,1.935,1.952,74719.67
2025-01-27 23:00:00,1.952,1.96,1.944,1.96,72791.37
2025-01-28 00:00:00,1.96,1.978,1.952,1.956,171451.33
2025-01-28 01:00:00,1.956,1.957,1.943,1.949,193363.84
2025-01-28 02:00:00,1.947,1.963,1.947,1.957,71710.65
2025-01-28 03:00:00,1.957,1.972,1.948,1.968,98242.0
2025-01-28 04:00:00,1.967,1.978,1.96,1.962,182109.58
2025-01-28 05:00:00,1.963,1.971,1.959,1.961,57200.17
2025-01-28 06:00:00,1.961,1.961,1.942,1.943,147345.75
2025-01-28 07:00:00,1.943,1.954,1.937,1.941,114454.37
2025-01-28 08:00:00,1.941,1.944,1.932,1.939,68129.37
2025-01-28 09:00:00,1.94,1.941,1.925,1.937,134008.25
2025-01-28 10:00:00,1.937,1.94,1.929,1.93,45099.29
2025-01-28 11:00:00,1.931,1.936,1.922,1.932,83508.94
2025-01-28 12:00:00,1.931,1.936,1.914,1.921,104419.53
2025-01-28 13:00:00,1.922,1.938,1.919,1.928,127328.09
2025-01-28 14:00:00,1.927,1.93,1.914,1.927,137841.45
2025-01-28 15:00:00,1.927,1.951,1.925,1.94,305337.72
2025-01-28 16:00:00,1.94,1.942,1.914,1.924,161965.35
2025-01-28 17:00:00,1.925,1.938,1.924,1.932,81808.12
2025-01-28 18:00:00,1.931,1.934,1.905,1.908,126424.36
2025-01-28 19:00:00,1.908,1.915,1.898,1.912,129565.47
2025-01-28 20:00:00,1.911,1.916,1.884,1.887,161960.3
2025-01-28 21:00:00,1.887,1.895,1.862,1.863,370140.54
2025-01-28 22:00:00,1.864,1.884,1.859,1.883,233880.1
2025-01-28 23:00:00,1.883,1.886,1.862,1.877,143046.01
2025-01-29 00:00:00,1.878,1.889,1.867,1.882,261895.03
2025-01-29 01:00:00,1.883,1.902,1.882,1.901,91988.63
2025-01-29 02:00:00,1.901,1.921,1.901,1.918,278973.71
