open_time,open,high,low,close,volume
2025-01-21 20:00:00,1.72,1.722,1.698,1.701,12208.98
2025-01-21 21:00:00,1.702,1.704,1.695,1.7,7798.3
2025-01-21 22:00:00,1.7,1.714,1.696,1.706,5957.06
2025-01-21 23:00:00,1.704,1.706,1.689,1.694,6199.58
2025-01-22 00:00:00,1.694,1.708,1.692,1.708,7922.03
2025-01-22 01:00:00,1.706,1.708,1.688,1.691,6872.23
2025-01-22 02:00:00,1.691,1.698,1.685,1.696,9372.04
2025-01-22 03:00:00,1.696,1.704,1.695,1.698,4526.97
2025-01-22 04:00:00,1.697,1.7,1.684,1.693,3505.51
2025-01-22 05:00:00,1.693,1.705,1.692,1.695,2779.89
2025-01-22 06:00:00,1.693,1.705,1.689,1.698,8047.81
2025-01-22 07:00:00,1.698,1.7,1.686,1.689,8036.88
2025-01-22 08:00:00,1.689,1.695,1.674,1.693,12831.71
2025-01-22 09:00:00,1.693,1.703,1.688,1.693,5473.43
2025-01-22 10:00:00,1.695,1.707,1.683,1.704,11702.86
2025-01-22 11:00:00,1.704,1.724,1.699,1.719,9204.23
2025-01-22 12:00:00,1.72,1.722,1.699,1.713,9515.23
2025-01-22 13:00:00,1.712,1.718,1.692,1.696,10006.92
2025-01-22 14:00:00,1.698,1.713,1.685,1.702,10510.75
2025-01-22 15:00:00,1.702,1.707,1.682,1.684,10575.42
2025-01-22 16:00:00,1.686,1.711,1.67,1.708,20142.45
2025-01-22 17:00:00,1.706,1.71,1.697,1.705,15080.78
2025-01-22 18:00:00,1.705,1.714,1.683,1.683,50196.23
2025-01-22 19:00:00,1.684,1.706,1.67,1.689,62019.06
2025-01-22 20:00:00,1.688,1.7,1.685,1.687,11453.55
2025-01-22 21:00:00,1.687,1.69,1.669,1.679,16235.04
2025-01-22 22:00:00,1.682,1.687,1.672,1.675,8537.55
2025-01-22 23:00:00,1.675,1.678,1.667,1.669,3653.98
2025-01-23 00:00:00,1.672,1.681,1.668,1.675,6471.02
2025-01-23 01:00:00,1.675,1.678,1.661,1.661,4606.2
2025-01-23 02:00:00,1.661,1.663,1.651,1.661,4937.24
2025-01-23 03:00:00,1.659,1.674,1.658,1.664,5714.9
2025-01-23 04:00:00,1.662,1.666,1.642,1.644,6004.59
2025-01-23 05:00:00,1.644,1.659,1.642,1.656,14523.61
2025-01-23 06:00:00,1.656,1.663,1.647,1.649,6378.94
2025-01-23 07:00:00,1.65,1.674,1.648,1.673,11741.3
2025-01-23 08:00:00,1.671,1.677,1.663,1.664,17459.43
2025-01-23 09:00:00,1.663,1.665,1.64,1.653,9813.61
2025-01-23 10:00:00,1.653,1.658,1.635,1.644,8715.7
2025-01-23 11:00:00,1.643,1.65,1.638,1.644,9020.0
2025-01-23 12:00:00,1.644,1.674,1.635,1.662,36840.09
2025-01-23 13:00:00,1.662,1.692,1.649,1.686,42327.3
2025-01-23 14:00:00,1.686,1.707,1.662,1.692,49671.51
2025-01-23 15:00:00,1.694,1.7,1.663,1.685,20103.45
2025-01-23 16:00:00,1.682,1.711,1.682,1.683,15249.09
2025-01-23 17:00:00,1.683,1.691,1.669,1.686,9261.03
2025-01-23 18:00:00,1.684,1.688,1.659,1.661,7388.17
2025-01-23 19:00:00,1.661,1.662,1.638,1.647,11981.57
2025-01-23 20:00:00,1.646,1.689,1.638,1.661,33227.45
2025-01-23 21:00:00,1.659,1.665,1.634,1.649,14450.14
2025-01-23 22:00:00,1.65,1.678,1.645,1.673,10741.4
2025-01-23 23:00:00,1.673,1.686,1.666,1.678,7630.62
2025-01-24 00:00:00,1.678,1.691,1.643,1.643,9845.47
2025-01-24 01:00:00,1.645,1.659,1.638,1.645,12651.79
2025-01-24 02:00:00,1.645,1.65,1.628,1.633,9129.84
2025-01-24 03:00:00,1.633,1.652,1.627,1.647,7383.36
2025-01-24 04:00:00,1.647,1.668,1.636,1.667,8659.76
2025-01-24 05:00:00,1.667,1.685,1.661,1.683,9720.81
2025-01-24 06:00:00,1.684,1.687,1.67,1.673,9932.94
2025-01-24 07:00:00,1.673,1.681,1.665,1.668,7714.78
2025-01-24 08:00:00,1.667,1.68,1.661,1.673,7465.16
2025-01-24 09:00:00,1.673,1.678,1.668,1.673,9333.81
2025-01-24 10:00:00,1.673,1.679,1.668,1.679,14673.63
2025-01-24 11:00:00,1.679,1.681,1.672,1.675,8730.47
2025-01-24 12:00:00,1.676,1.678,1.67,1.677,8219.68
2025-01-24 13:00:00,1.677,1.685,1.672,1.675,9093.21
2025-01-24 14:00:00,1.675,1.681,1.665,1.671,10646.73
2025-01-24 15:00:00,1.671,1.677,1.656,1.662,13369.48
2025-01-24 16:00:00,1.663,1.665,1.65,1.653,9819.38
2025-01-24 17:00:00,1.652,1.661,1.646,1.659,6630.02
2025-01-24 18:00:00,1.659,1.659,1.646,1.648,12089.8
2025-01-24 19:00:00,1.648,1.65,1.632,1.636,8745.12
2025-01-24 20:00:00,1.637,1.642,1.617,1.617,9705.22
2025-01-24 21:00:00,1.619,1.626,1.618,1.624,11781.71
2025-01-24 22:00:00,1.624,1.636,1.617,1.624,9229.56
2025-01-24 23:00:00,1.625,1.627,1.609,1.618,8428.85
2025-01-25 00:00:00,1.618,1.62,1.601,1.603,12062.27
2025-01-25 01:00:00,1.602,1.63,1.601,1.623,7281.14
2025-01-25 02:00:00,1.62,1.635,1.618,1.627,8986.12
2025-01-25 03:00:00,1.627,1.644,1.62,1.642,5043.09
2025-01-25 04:00:00,1.642,1.642,1.624,1.625,5541.16
2025-01-25 05:00:00,1.625,1.635,1.621,1.627,8243.46
2025-01-25 06:00:00,1.626,1.629,1.61,1.616,14168.8
2025-01-25 07:00:00,1.616,1.616,1.608,1.612,7182.46
2025-01-25 08:00:00,1.613,1.62,1.608,1.618,13735.74
2025-01-25 09:00:00,1.617,1.618,1.608,1.613,5618.49
2025-01-25 10:00:00,1.613,1.619,1.605,1.618,7855.53
2025-01-25 11:00:00,1.619,1.633,1.615,1.632,8271.85
2025-01-25 12:00:00,1.63,1.632,1.612,1.622,15230.13
2025-01-25 13:00:00,1.623,1.628,1.617,1.618,32663.67
2025-01-25 14:00:00,1.617,1.625,1.603,1.623,21912.49
2025-01-25 15:00:00,1.625,1.645,1.625,1.637,15556.38
2025-01-25 16:00:00,1.637,1.638,1.614,1.622,21247.02
2025-01-25 17:00:00,1.622,1.631,1.607,1.629,20571.5
2025-01-25 18:00:00,1.629,1.633,1.621,1.628,8038.21
2025-01-25 19:00:00,1.628,1.634,1.623,1.625,5424.7
2025-01-25 20:00:00,1.624,1.633,1.615,1.616,12259.63
2025-01-25 21:00:00,1.617,1.622,1.612,1.62,5243.94
2025-01-25 22:00:00,1.621,1.628,1.614,1.62,8550.51
2025-01-25 23:00:00,1.62,1.622,1.612,1.613,9699.33
2025-01-26 00:00:00,1.613,1.631,1.605,1.625,15056.26
2025-01-26 01:00:00,1.623,1.63,1.621,1.622,4851.23
