open_time,open,high,low,close,volume
2025-01-21 20:00:00,81.34,81.53,80.26,80.98,4304.12
2025-01-21 21:00:00,80.99,81.54,80.45,81.33,2844.122
2025-01-21 22:00:00,81.32,81.65,80.64,80.67,1225.242
2025-01-21 23:00:00,80.72,80.74,79.58,80.0,2110.281
2025-01-22 00:00:00,80.0,80.58,79.15,80.0,1894.26
2025-01-22 01:00:00,79.97,79.99,78.61,78.79,1645.272
2025-01-22 02:00:00,78.9,79.83,78.59,79.33,1935.85
2025-01-22 03:00:00,79.23,79.49,78.59,78.76,1121.528
2025-01-22 04:00:00,78.82,79.13,78.36,79.06,980.466
2025-01-22 05:00:00,79.09,79.87,78.66,78.66,2337.984
2025-01-22 06:00:00,78.66,79.04,78.29,78.85,1001.427
2025-01-22 07:00:00,78.85,79.04,78.3,78.49,1346.919
2025-01-22 08:00:00,78.48,78.72,77.62,78.71,3135.492
2025-01-22 09:00:00,78.71,79.52,78.48,79.09,1713.506
2025-01-22 10:00:00,79.09,79.18,78.63,79.06,1271.929
2025-01-22 11:00:00,79.07,79.44,78.71,79.15,697.94
2025-01-22 12:00:00,79.18,79.41,78.85,79.18,672.519
2025-01-22 13:00:00,79.09,79.35,77.72,77.88,2243.392
2025-01-22 14:00:00,77.85,78.67,77.38,77.88,3859.9
2025-01-22 15:00:00,77.87,78.21,76.91,77.18,1382.492
2025-01-22 16:00:00,77.2,77.41,76.34,77.25,4429.567
2025-01-22 17:00:00,77.24,77.94,77.2,77.88,1559.435
2025-01-22 18:00:00,77.81,78.0,75.79,75.94,2145.683
2025-01-22 19:00:00,75.96,76.98,75.9,76.18,3549.687
2025-01-22 20:00:00,76.15,77.28,76.12,76.71,1986.313
2025-01-22 21:00:00,76.68,77.13,76.03,76.8,1267.53
2025-01-22 22:00:00,76.7,77.02,76.06,76.09,538.245
2025-01-22 23:00:00,76.04,76.4,75.75,76.17,1927.913
2025-01-23 00:00:00,76.13,76.6,75.98,76.23,689.9
2025-01-23 01:00:00,76.09,76.4,75.38,75.5,821.035
2025-01-23 02:00:00,75.44,75.66,75.1,75.54,1219.588
2025-01-23 03:00:00,75.48,76.56,75.4,76.22,1860.611
2025-01-23 04:00:00,76.2,76.2,74.69,75.0,1297.888
2025-01-23 05:00:00,75.03,75.83,75.01,75.75,1574.207
2025-01-23 06:00:00,75.75,75.95,75.47,75.49,874.939
2025-01-23 07:00:00,75.63,76.14,75.08,76.06,1640.25
2025-01-23 08:00:00,76.09,76.51,75.6,75.76,690.914
2025-01-23 09:00:00,75.62,76.2,75.11,75.34,880.313
2025-01-23 10:00:00,75.49,75.55,74.72,75.2,2286.004
2025-01-23 11:00:00,75.21,76.37,74.97,76.27,4068.645
2025-01-23 12:00:00,76.33,76.65,75.44,75.92,4696.58
2025-01-23 13:00:00,75.87,77.07,75.44,76.42,2564.414
2025-01-23 14:00:00,76.41,78.49,76.22,77.85,2834.74
2025-01-23 15:00:00,77.88,78.26,76.3,77.1,2437.23
2025-01-23 16:00:00,77.16,79.2,77.14,77.74,3707.453
2025-01-23 17:00:00,77.75,78.49,76.84,78.12,1648.5
2025-01-23 18:00:00,78.12,78.4,76.25,76.34,2973.623
2025-01-23 19:00:00,76.25,76.49,75.14,75.45,1221.688
2025-01-23 20:00:00,75.52,77.57,75.13,76.23,7104.031
2025-01-23 21:00:00,76.29,76.45,74.73,75.31,1352.183
2025-01-23 22:00:00,75.08,78.32,75.05,78.14,1511.706
2025-01-23 23:00:00,78.21,78.42,77.23,77.47,913.467
2025-01-24 00:00:00,77.39,77.73,75.6,75.61,1092.952
2025-01-24 01:00:00,75.63,76.35,75.12,75.43,963.692
2025-01-24 02:00:00,75.51,75.6,74.63,74.73,1463.369
2025-01-24 03:00:00,74.77,76.08,74.69,75.88,2614.67
2025-01-24 04:00:00,75.81,76.71,75.2,76.65,902.439
2025-01-24 05:00:00,76.6,78.64,76.36,78.61,1582.465
2025-01-24 06:00:00,78.64,78.78,77.69,77.86,1145.702
2025-01-24 07:00:00,77.82,78.4,77.57,77.94,970.553
2025-01-24 08:00:00,77.9,78.53,77.56,78.1,1585.672
2025-01-24 09:00:00,78.07,78.56,77.8,78.28,1436.808
2025-01-24 10:00:00,78.3,79.25,78.07,79.11,1011.556
2025-01-24 11:00:00,79.12,79.17,78.0,78.03,1214.323
2025-01-24 12:00:00,78.11,79.0,77.95,78.95,1163.335
2025-01-24 13:00:00,78.94,79.53,78.24,78.42,1628.52
2025-01-24 14:00:00,78.58,78.73,77.57,78.16,1729.221
2025-01-24 15:00:00,78.17,78.4,76.94,77.71,1068.368
2025-01-24 16:00:00,77.77,77.87,77.18,77.18,721.361
2025-01-24 17:00:00,77.17,78.55,76.97,77.61,25523.058
2025-01-24 18:00:00,77.65,77.92,76.74,76.98,41259.627
2025-01-24 19:00:00,77.02,77.59,76.73,77.3,29885.627
2025-01-24 20:00:00,77.26,77.64,75.99,76.19,3871.723
2025-01-24 21:00:00,76.21,76.77,76.04,76.7,447.08
2025-01-24 22:00:00,76.63,76.63,75.87,75.92,982.068
2025-01-24 23:00:00,75.96,76.21,75.79,76.07,781.766
2025-01-25 00:00:00,76.04,76.04,74.84,74.91,841.805
2025-01-25 01:00:00,74.85,76.26,74.8,76.15,1011.063
2025-01-25 02:00:00,76.14,76.16,74.82,74.99,34386.597
2025-01-25 03:00:00,74.96,76.2,74.8,75.99,8131.072
2025-01-25 04:00:00,75.93,75.95,75.3,75.41,683.168
2025-01-25 05:00:00,75.35,75.76,75.16,75.29,600.986
2025-01-25 06:00:00,75.21,75.4,74.7,74.82,853.316
2025-01-25 07:00:00,74.81,74.83,73.8,73.83,2285.716
2025-01-25 08:00:00,73.84,74.19,73.56,73.74,682.325
2025-01-25 09:00:00,73.76,73.8,73.26,73.4,758.682
2025-01-25 10:00:00,73.23,73.94,73.08,73.94,1218.033
2025-01-25 11:00:00,73.88,74.06,73.5,73.89,815.397
2025-01-25 12:00:00,73.86,73.88,73.35,73.78,816.772
2025-01-25 13:00:00,73.85,74.49,73.74,74.22,883.157
2025-01-25 14:00:00,74.26,74.27,73.6,74.11,665.767
2025-01-25 15:00:00,74.05,74.88,73.95,74.39,890.565
2025-01-25 16:00:00,74.33,74.83,74.09,74.44,1028.232
2025-01-25 17:00:00,74.48,74.96,74.02,74.96,1047.706
2025-01-25 18:00:00,74.96,75.39,74.63,75.28,808.751
2025-01-25 19:00:00,75.37,75.49,75.01,75.16,223.251
2025-01-25 20:00:00,75.18,75.66,75.18,75.42,301.103
2025-01-25 21:00:00,75.45,75.82,75.16,75.77,447.449
2025-01-25 22:00:00,75.77,76.1,75.45,75.73,623.477
2025-01-25 23:00:00,75.66,75.74,74.83,74.87,241.271
2025-01-26 00:00:00,74.86,75.2,74.66,74.84,405.382
2025-01-26 01:00:00,74.83,75.59,74.78,75.48,173.605
2025-01-26 02:00:00,75.4,75.51,74.84,75.5,187.817
2025-01-26 03:00:00,75.48,76.77,75.47,76.48,1289.735
2025-01-26 04:00:00,76.41,77.88,76.3,77.54,1440.448
2025-01-26 05:00:00,77.54,77.61,75.98,76.14,1290.37
2025-01-26 06:00:00,76.14,76.16,75.52,76.14,376.715
2025-01-26 07:00:00,76.18,76.44,75.66,76.1,185.525
2025-01-26 08:00:00,76.07,76.51,75.49,75.71,247.315
2025-01-26 09:00:00,75.72,75.72,74.37,74.5,1622.996
2025-01-26 10:00:00,74.47,74.8,73.75,74.37,2720.181
2025-01-26 11:00:00,74.4,75.4,74.34,75.16,2702.394
2025-01-26 12:00:00,75.11,75.65,74.83,75.59,730.319
2025-01-26 13:00:00,75.66,75.78,74.88,75.36,3399.524
2025-01-26 14:00:00,75.35,75.57,75.08,75.45,139.535
2025-01-26 15:00:00,75.44,75.66,74.81,75.05,3507.755
2025-01-26 16:00:00,75.04,75.34,74.77,75.13,574.377
2025-01-26 17:00:00,75.16,75.59,74.82,75.24,262.843
2025-01-26 18:00:00,75.24,76.03,75.06,75.64,457.063
2025-01-26 19:00:00,75.61,76.03,75.59,75.87,547.065
2025-01-26 20:00:00,75.89,76.19,75.41,75.5,504.037
2025-01-26 21:00:00,75.5,75.5,74.6,74.6,224.427
2025-01-26 22:00:00,74.57,74.8,74.06,74.39,583.513
2025-01-26 23:00:00,74.14,74.24,72.45,72.47,1723.176
2025-01-27 00:00:00,72.47,72.92,71.46,71.8,1824.508
2025-01-27 01:00:00,71.76,71.96,70.78,70.78,1919.507
2025-01-27 02:00:00,70.77,70.79,69.89,70.0,2085.978
2025-01-27 03:00:00,70.0,71.46,69.85,70.9,2767.625
2025-01-27 04:00:00,70.9,70.9,70.07,70.21,584.38
2025-01-27 05:00:00,70.27,70.41,69.49,70.01,2008.694
2025-01-27 06:00:00,70.01,70.32,68.3,68.38,3801.92
2025-01-27 07:00:00,68.39,68.68,65.67,66.99,7235.723
2025-01-27 08:00:00,66.96,67.09,65.87,66.9,3513.489
2025-01-27 09:00:00,66.88,67.61,66.59,66.96,2733.01
2025-01-27 10:00:00,66.93,66.93,65.29,65.29,2290.745
2025-01-27 11:00:00,65.3,66.43,65.25,65.47,1375.58
2025-01-27 12:00:00,65.45,67.57,65.14,67.25,2340.269
2025-01-27 13:00:00,67.28,68.14,66.97,67.21,2106.759
2025-01-27 14:00:00,67.15,68.95,66.83,68.85,2756.38
2025-01-27 15:00:00,68.62,69.74,68.03,68.94,2241.181
2025-01-27 16:00:00,68.94,69.14,67.62,68.08,5126.404
2025-01-27 17:00:00,68.08,68.63,67.49,68.19,8674.918
2025-01-27 18:00:00,68.19,68.81,67.41,67.53,10398.467
2025-01-27 19:00:00,67.54,68.9,67.53,68.12,3846.254
2025-01-27 20:00:00,68.18,70.34,68.18,70.23,1120.964
2025-01-27 21:00:00,70.2,71.93,70.19,70.53,1611.896
2025-01-27 22:00:00,70.52,70.86,69.86,70.5,850.641
2025-01-27 23:00:00,70.52,70.84,70.08,70.8,364.123
2025-01-28 00:00:00,70.66,71.42,70.53,71.05,838.99
2025-01-28 01:00:00,71.02,71.21,70.55,70.89,1488.172
2025-01-28 02:00:00,70.86,71.69,70.73,70.73,3059.216
2025-01-28 03:00:00,70.73,71.39,70.29,71.31,10936.401
2025-01-28 04:00:00,71.3,71.43,70.53,70.79,6572.716
2025-01-28 05:00:00,70.78,71.26,70.47,70.61,12251.76
2025-01-28 06:00:00,70.63,71.0,70.0,70.37,8534.576
2025-01-28 07:00:00,70.34,71.02,70.08,70.44,7076.562
2025-01-28 08:00:00,70.43,70.63,69.99,70.19,1316.968
2025-01-28 09:00:00,70.16,70.16,69.41,69.83,831.856
2025-01-28 10:00:00,69.82,70.09,69.58,69.65,458.407
2025-01-28 11:00:00,69.68,70.13,69.29,69.58,1221.74
2025-01-28 12:00:00,69.54,69.94,69.06,69.4,838.871
2025-01-28 13:00:00,69.48,70.21,69.41,69.75,463.884
2025-01-28 14:00:00,69.74,69.94,69.16,69.46,1073.442
2025-01-28 15:00:00,69.55,70.54,69.51,69.74,1682.992
2025-01-28 16:00:00,69.77,69.79,68.71,69.08,994.105
2025-01-28 17:00:00,69.12,69.82,69.02,69.3,543.133
2025-01-28 18:00:00,69.24,69.73,68.78,68.92,933.083
2025-01-28 19:00:00,68.97,69.36,68.45,69.27,916.801
2025-01-28 20:00:00,69.24,69.37,67.9,67.93,1154.906
2025-01-28 21:00:00,68.01,68.47,66.78,66.81,2158.406
2025-01-28 22:00:00,66.83,67.67,66.36,67.65,2127.201
2025-01-28 23:00:00,67.55,67.85,66.7,67.49,437.008
2025-01-29 00:00:00,67.36,67.97,66.97,67.78,923.12
2025-01-29 01:00:00,67.84,68.5,67.82,68.24,773.102
2025-01-29 02:00:00,68.35,68.96,67.85,67.99,594.668
2025-01-29 03:00:00,68.03,68.98,67.81,68.78,1845.502
2025-01-29 04:00:00,68.81,69.14,68.56,68.97,251.242
2025-01-29 05:00:00,68.98,69.47,68.86,69.47,189.031
2025-01-29 06:00:00,69.5,71.0,69.48,71.0,982.676
2025-01-29 07:00:00,71.0,71.58,70.51,71.45,1600.856
2025-01-29 08:00:00,71.47,71.65,70.62,70.78,534.179
2025-01-29 09:00:00,70.78,70.85,70.19,70.37,1512.628
2025-01-29 10:00:00,70.45,70.91,70.14,70.86,874.53
2025-01-29 11:00:00,70.88,71.33,70.59,70.98,1400.39
2025-01-29 12:00:00,71.03,71.17,69.97,70.01,1438.695
2025-01-29 13:00:00,69.95,69.97,68.79,69.02,1642.28
2025-01-29 14:00:00,69.12,69.63,68.39,68.86,843.371
2025-01-29 15:00:00,68.96,69.49,68.58,68.77,1599.187
2025-01-29 16:00:00,68.77,68.81,67.8,68.02,1863.485
2025-01-29 17:00:00,68.05,69.33,68.02,68.66,1172.329
2025-01-29 18:00:00,68.67,69.42,67.93,69.08,1616.753
2025-01-29 19:00:00,69.07,70.12,66.96,69.6,8442.398
2025-01-29 20:00:00,69.48,71.41,68.72,70.54,2403.733
2025-01-29 21:00:00,70.54,71.46,69.87,70.71,1688.887
2025-01-29 22:00:00,70.73,70.86,69.78,69.8,1467.417
2025-01-29 23:00:00,69.77,70.07,68.77,68.8,843.154
2025-01-30 00:00:00,68.83,69.23,68.02,69.1,2227.838
2025-01-30 01:00:00,69.11,70.12,68.95,69.44,984.595
2025-01-30 02:00:00,69.46,70.03,69.11,69.92,911.95
2025-01-30 03:00:00,69.94,70.54,69.81,70.42,2622.606
2025-01-30 04:00:00,70.41,70.6,69.7,69.95,3738.38
2025-01-30 05:00:00,70.01,70.01,69.35,69.74,1866.031
2025-01-30 06:00:00,69.75,70.32,69.46,69.52,1361.422
2025-01-30 07:00:00,69.52,69.61,68.94,69.39,2025.431
2025-01-30 08:00:00,69.4,69.77,69.03,69.74,904.044
2025-01-30 09:00:00,69.72,70.25,69.46,69.98,1481.581
2025-01-30 10:00:00,69.94,70.24,69.65,70.19,1986.584
2025-01-30 11:00:00,70.24,70.29,69.9,70.18,1370.347
2025-01-30 12:00:00,70.2,70.24,69.18,69.64,2304.164
2025-01-30 13:00:00,69.57,70.9,69.43,70.77,2240.051
2025-01-30 14:00:00,70.8,71.64,70.68,71.37,3746.808
2025-01-30 15:00:00,71.39,71.9,71.21,71.26,1784.061
2025-01-30 16:00:00,71.29,71.59,70.79,71.34,1685.884
2025-01-30 17:00:00,71.3,72.27,71.0,71.8,3084.313
2025-01-30 18:00:00,71.87,71.87,70.75,71.19,1711.261
2025-01-30 19:00:00,71.19,71.21,70.67,70.92,826.392
2025-01-30 20:00:00,70.95,71.14,69.9,69.97,1595.352
2025-01-30 21:00:00,70.03,70.48,69.43,69.88,2675.792
2025-01-30 22:00:00,69.89,70.77,69.78,70.29,3665.671
2025-01-30 23:00:00,70.32,71.04,70.21,70.44,2754.526
2025-01-31 00:00:00,70.46,70.72,69.99,70.62,1372.79
