open_time,open,high,low,close,volume
2025-01-21 20:00:00,37.71,37.74,37.29,37.55,4091.301
2025-01-21 21:00:00,37.54,37.58,36.96,37.33,10983.628
2025-01-21 22:00:00,37.34,37.43,36.94,36.95,3165.526
2025-01-21 23:00:00,36.97,37.12,36.59,36.86,5845.937
2025-01-22 00:00:00,36.85,36.99,36.47,36.87,5078.383
2025-01-22 01:00:00,36.87,36.98,36.51,36.59,6664.094
2025-01-22 02:00:00,36.57,36.97,36.48,36.91,1428.351
2025-01-22 03:00:00,36.92,37.13,36.79,36.95,2309.765
2025-01-22 04:00:00,36.96,37.13,36.44,36.8,5612.472
2025-01-22 05:00:00,36.77,36.98,36.62,36.65,2012.233
2025-01-22 06:00:00,36.65,36.81,36.45,36.57,1350.495
2025-01-22 07:00:00,36.57,36.66,36.37,36.41,1706.61
2025-01-22 08:00:00,36.45,36.59,36.03,36.56,5551.955
2025-01-22 09:00:00,36.55,37.07,36.38,37.01,7116.751
2025-01-22 10:00:00,37.0,37.18,36.8,36.99,7350.366
2025-01-22 11:00:00,36.99,37.44,36.87,37.35,3160.211
2025-01-22 12:00:00,37.37,37.55,37.08,37.13,2529.098
2025-01-22 13:00:00,37.12,37.12,36.47,36.55,5094.165
2025-01-22 14:00:00,36.5,36.98,36.32,36.67,3112.967
2025-01-22 15:00:00,36.61,36.87,36.29,36.52,2202.418
2025-01-22 16:00:00,36.52,36.69,36.25,36.67,1976.574
2025-01-22 17:00:00,36.59,36.9,36.57,36.84,3037.028
2025-01-22 18:00:00,36.83,36.88,36.16,36.2,2462.249
2025-01-22 19:00:00,36.2,36.7,36.17,36.47,3368.511
2025-01-22 20:00:00,36.44,36.68,36.38,36.4,1239.76
2025-01-22 21:00:00,36.38,36.41,36.02,36.17,3554.337
2025-01-22 22:00:00,36.11,36.33,35.66,35.78,6762.486
2025-01-22 23:00:00,35.77,36.01,35.62,35.83,2744.762
2025-01-23 00:00:00,35.83,35.95,35.64,35.75,976.935
2025-01-23 01:00:00,35.69,35.85,35.37,35.42,2715.8
2025-01-23 02:00:00,35.42,35.47,34.83,35.23,7872.918
2025-01-23 03:00:00,35.2,35.51,34.99,35.14,6463.644
2025-01-23 04:00:00,35.13,35.31,34.74,34.81,8338.595
2025-01-23 05:00:00,34.79,35.21,34.7,35.0,5345.846
2025-01-23 06:00:00,34.99,35.08,34.81,34.88,3194.569
2025-01-23 07:00:00,34.92,35.31,34.72,35.3,2384.421
2025-01-23 08:00:00,35.25,35.31,34.86,35.03,5113.638
2025-01-23 09:00:00,35.01,35.23,34.77,34.88,2459.189
2025-01-23 10:00:00,34.89,35.06,34.49,34.71,5529.963
2025-01-23 11:00:00,34.69,34.96,34.61,34.78,4227.349
2025-01-23 12:00:00,34.78,34.89,34.53,34.74,3029.251
2025-01-23 13:00:00,34.74,35.18,34.51,35.09,3932.574
2025-01-23 14:00:00,35.07,35.88,34.85,35.68,9200.655
2025-01-23 15:00:00,35.69,35.79,35.0,35.64,11393.825
2025-01-23 16:00:00,35.72,36.41,35.72,35.83,10437.01
2025-01-23 17:00:00,35.82,36.02,35.49,35.93,2740.219
2025-01-23 18:00:00,35.94,36.0,35.27,35.32,3718.052
2025-01-23 19:00:00,35.29,35.29,34.77,34.94,5536.586
2025-01-23 20:00:00,34.92,35.99,34.79,35.38,12035.008
2025-01-23 21:00:00,35.43,35.45,34.69,34.89,7509.043
2025-01-23 22:00:00,34.87,35.66,34.79,35.59,5429.392
2025-01-23 23:00:00,35.57,35.93,35.44,35.5,3160.776
2025-01-24 00:00:00,35.51,35.68,34.79,34.81,2818.297
2025-01-24 01:00:00,34.78,35.0,34.54,34.65,3573.355
2025-01-24 02:00:00,34.65,34.81,34.28,34.37,3471.49
2025-01-24 03:00:00,34.39,35.01,34.34,34.85,3559.74
2025-01-24 04:00:00,34.82,35.1,34.39,35.06,4192.168
2025-01-24 05:00:00,35.11,35.65,34.93,35.61,3708.089
2025-01-24 06:00:00,35.64,35.71,35.24,35.42,3599.965
2025-01-24 07:00:00,35.41,35.57,35.19,35.38,2977.733
2025-01-24 08:00:00,35.39,35.74,35.24,35.71,4235.595
2025-01-24 09:00:00,35.71,35.93,35.57,35.71,3577.703
2025-01-24 10:00:00,35.74,35.88,35.47,35.85,1674.351
2025-01-24 11:00:00,35.85,35.91,35.65,35.73,2510.99
2025-01-24 12:00:00,35.76,35.97,35.63,35.97,4217.081
2025-01-24 13:00:00,35.97,36.13,35.55,35.74,4347.696
2025-01-24 14:00:00,35.79,35.87,35.5,35.79,3986.976
2025-01-24 15:00:00,35.76,35.91,35.3,35.64,6768.545
2025-01-24 16:00:00,35.64,35.75,35.4,35.44,2040.221
2025-01-24 17:00:00,35.47,35.73,35.31,35.66,3412.491
2025-01-24 18:00:00,35.64,35.84,35.6,35.61,4895.745
2025-01-24 19:00:00,35.68,35.69,35.43,35.48,2073.088
2025-01-24 20:00:00,35.5,35.55,34.92,34.98,4170.717
2025-01-24 21:00:00,35.0,35.42,35.0,35.24,2897.441
2025-01-24 22:00:00,35.22,35.28,35.01,35.01,1131.694
2025-01-24 23:00:00,35.01,35.01,34.8,34.99,2807.384
2025-01-25 00:00:00,34.97,35.05,34.61,34.65,1572.082
