open_time,open,high,low,close,volume
2025-03-13 08:00:00,2.183,2.26,1.39,1.495,5255906.9
2025-03-13 09:00:00,1.497,1.75,1.475,1.723,2223435.8
2025-03-13 10:00:00,1.723,1.85,1.641,1.683,3050202.6
2025-03-13 11:00:00,1.682,1.685,1.537,1.609,1853861.7
2025-03-13 12:00:00,1.604,1.639,1.547,1.638,982919.0
2025-03-13 13:00:00,1.639,1.66,1.567,1.612,996670.3
2025-03-13 14:00:00,1.612,1.648,1.575,1.59,645334.3
2025-03-13 15:00:00,1.589,1.629,1.537,1.575,575335.0
2025-03-13 16:00:00,1.573,1.578,1.485,1.538,1141629.2
2025-03-13 17:00:00,1.54,1.64,1.528,1.572,1184601.1
2025-03-13 18:00:00,1.573,1.582,1.506,1.539,340300.6
2025-03-13 19:00:00,1.539,1.596,1.524,1.545,606320.3
2025-03-13 20:00:00,1.547,1.68,1.529,1.656,800814.2
2025-03-13 21:00:00,1.655,1.69,1.512,1.553,1045221.3
2025-03-13 22:00:00,1.553,1.61,1.551,1.589,285370.7
2025-03-13 23:00:00,1.588,1.615,1.556,1.604,304998.0
2025-03-14 00:00:00,1.603,1.629,1.579,1.609,391086.7
2025-03-14 01:00:00,1.611,1.621,1.546,1.565,390117.4
2025-03-14 02:00:00,1.565,1.59,1.52,1.59,386413.1
2025-03-14 03:00:00,1.59,1.65,1.564,1.579,390861.3
2025-03-14 04:00:00,1.58,1.595,1.562,1.574,186180.1
2025-03-14 05:00:00,1.573,1.591,1.54,1.584,271409.0
2025-03-14 06:00:00,1.585,1.59,1.545,1.558,230161.9
2025-03-14 07:00:00,1.559,1.57,1.46,1.507,375687.2
2025-03-14 08:00:00,1.506,1.535,1.478,1.521,456669.5
2025-03-14 09:00:00,1.521,1.567,1.52,1.541,359970.4
2025-03-14 10:00:00,1.542,1.589,1.515,1.543,409637.4
2025-03-14 11:00:00,1.544,1.573,1.543,1.556,308767.4
2025-03-14 12:00:00,1.556,1.58,1.545,1.565,260753.7
2025-03-14 13:00:00,1.566,1.6,1.555,1.565,336342.9
2025-03-14 14:00:00,1.564,1.576,1.55,1.567,230696.8
2025-03-14 15:00:00,1.568,1.617,1.567,1.591,360964.2
2025-03-14 16:00:00,1.592,1.64,1.576,1.588,525152.4
2025-03-14 17:00:00,1.587,1.6,1.568,1.594,227673.2
2025-03-14 18:00:00,1.594,1.66,1.586,1.652,369118.0
2025-03-14 19:00:00,1.651,1.763,1.63,1.717,1066782.1
2025-03-14 20:00:00,1.72,1.752,1.652,1.66,592481.8
2025-03-14 21:00:00,1.661,1.955,1.641,1.884,1758213.4
2025-03-14 22:00:00,1.888,1.937,1.834,1.865,2007593.4
2025-03-14 23:00:00,1.865,1.92,1.821,1.863,1186610.2
2025-03-15 00:00:00,1.863,1.902,1.781,1.8,819652.9
2025-03-15 01:00:00,1.8,1.839,1.761,1.799,392903.6
2025-03-15 02:00:00,1.8,1.872,1.79,1.84,489318.9
2025-03-15 03:00:00,1.841,1.875,1.735,1.757,472044.9
2025-03-15 04:00:00,1.757,1.768,1.717,1.748,184615.6
2025-03-15 05:00:00,1.748,1.767,1.706,1.741,293366.6
2025-03-15 06:00:00,1.742,1.767,1.72,1.728,153793.7
2025-03-15 07:00:00,1.728,1.789,1.707,1.766,221828.0
2025-03-15 08:00:00,1.764,1.817,1.747,1.794,631192.4
2025-03-15 09:00:00,1.794,1.825,1.773,1.813,332657.2
2025-03-15 10:00:00,1.813,1.857,1.798,1.824,423427.3
2025-03-15 11:00:00,1.821,1.832,1.788,1.802,224238.9
2025-03-15 12:00:00,1.803,1.89,1.779,1.865,524632.7
2025-03-15 13:00:00,1.865,1.886,1.807,1.823,351681.3
2025-03-15 14:00:00,1.823,1.847,1.785,1.792,306705.0
2025-03-15 15:00:00,1.792,1.808,1.758,1.783,310640.0
2025-03-15 16:00:00,1.785,1.808,1.744,1.793,403184.1
2025-03-15 17:00:00,1.794,1.797,1.736,1.777,254000.0
2025-03-15 18:00:00,1.777,1.8,1.754,1.788,185690.7
2025-03-15 19:00:00,1.786,1.801,1.756,1.767,232012.4
2025-03-15 20:00:00,1.767,1.808,1.761,1.803,109945.0
2025-03-15 21:00:00,1.802,1.838,1.766,1.786,224807.3
2025-03-15 22:00:00,1.787,1.792,1.746,1.758,217489.6
2025-03-15 23:00:00,1.76,1.767,1.678,1.713,278763.6
2025-03-16 00:00:00,1.711,1.727,1.677,1.692,302608.9
2025-03-16 01:00:00,1.694,1.714,1.663,1.682,217677.6
2025-03-16 02:00:00,1.679,1.709,1.679,1.701,146148.4
2025-03-16 03:00:00,1.7,1.702,1.681,1.687,164961.3
2025-03-16 04:00:00,1.687,1.717,1.68,1.688,128659.2
2025-03-16 05:00:00,1.689,1.71,1.676,1.698,114288.1
2025-03-16 06:00:00,1.698,1.718,1.685,1.697,125531.3
2025-03-16 07:00:00,1.697,1.697,1.659,1.684,150107.3
2025-03-16 08:00:00,1.684,1.699,1.652,1.692,189933.6
2025-03-16 09:00:00,1.692,1.706,1.676,1.703,154883.8
