open_time,open,high,low,close,volume
2025-01-21 20:00:00,41.81,41.88,41.36,41.51,471.377
2025-01-21 21:00:00,41.53,41.95,41.4,41.78,996.804
2025-01-21 22:00:00,41.76,42.16,41.51,41.93,619.057
2025-01-21 23:00:00,41.88,41.88,41.33,41.52,560.218
2025-01-22 00:00:00,41.51,41.85,41.35,41.83,208.185
2025-01-22 01:00:00,41.77,41.84,41.41,41.48,692.366
2025-01-22 02:00:00,41.55,41.96,41.29,41.93,518.815
2025-01-22 03:00:00,41.9,42.17,41.86,42.02,393.53
2025-01-22 04:00:00,42.0,42.03,41.5,41.77,151.625
2025-01-22 05:00:00,41.77,42.04,41.65,41.77,187.728
2025-01-22 06:00:00,41.75,41.99,41.52,41.73,158.227
2025-01-22 07:00:00,41.74,41.77,41.45,41.45,202.41
2025-01-22 08:00:00,41.49,41.56,41.05,41.53,176.577
2025-01-22 09:00:00,41.49,41.71,41.32,41.63,278.712
2025-01-22 10:00:00,41.63,42.0,41.28,41.95,454.35
2025-01-22 11:00:00,41.95,42.22,41.69,42.17,667.738
2025-01-22 12:00:00,42.2,42.35,41.83,42.06,358.918
2025-01-22 13:00:00,42.02,42.1,41.4,41.52,495.202
2025-01-22 14:00:00,41.5,41.71,40.97,41.46,474.372
2025-01-22 15:00:00,41.46,41.6,40.86,41.04,663.136
2025-01-22 16:00:00,41.03,41.51,40.78,41.47,594.846
2025-01-22 17:00:00,41.47,41.76,41.38,41.66,323.796
2025-01-22 18:00:00,41.65,41.77,41.05,41.05,355.711
2025-01-22 19:00:00,41.04,41.59,40.93,41.39,343.84
2025-01-22 20:00:00,41.42,41.63,41.23,41.36,528.148
2025-01-22 21:00:00,41.34,41.38,41.0,41.27,243.794
2025-01-22 22:00:00,41.24,41.38,40.87,40.9,389.955
2025-01-22 23:00:00,40.9,41.18,40.67,41.07,431.537
2025-01-23 00:00:00,41.04,41.39,40.93,41.04,397.213
2025-01-23 01:00:00,41.02,41.23,40.7,40.74,317.325
2025-01-23 02:00:00,40.75,40.84,40.51,40.82,212.583
2025-01-23 03:00:00,40.8,41.15,40.59,40.83,170.156
2025-01-23 04:00:00,40.79,40.9,40.23,40.47,1204.44
2025-01-23 05:00:00,40.46,41.52,40.46,41.2,766.847
2025-01-23 06:00:00,41.19,41.39,40.98,41.01,341.867
2025-01-23 07:00:00,41.04,41.5,40.95,41.48,375.86
2025-01-23 08:00:00,41.48,41.57,41.05,41.12,333.984
2025-01-23 09:00:00,41.06,41.15,40.6,40.66,277.984
2025-01-23 10:00:00,40.66,40.8,40.34,40.44,158.765
2025-01-23 11:00:00,40.39,40.68,40.33,40.65,186.356
2025-01-23 12:00:00,40.63,40.74,40.25,40.52,192.639
2025-01-23 13:00:00,40.51,41.0,40.22,40.88,279.488
2025-01-23 14:00:00,40.83,41.7,40.72,41.61,885.541
2025-01-23 15:00:00,41.62,41.82,41.1,41.39,1655.997
2025-01-23 16:00:00,41.43,41.96,41.39,41.48,994.316
2025-01-23 17:00:00,41.44,41.6,41.08,41.48,437.353
2025-01-23 18:00:00,41.52,41.57,40.59,40.59,363.15
2025-01-23 19:00:00,40.63,40.63,40.0,40.09,374.842
2025-01-23 20:00:00,40.07,41.31,40.0,40.7,2228.63
2025-01-23 21:00:00,40.69,40.79,40.3,40.5,1078.154
2025-01-23 22:00:00,40.5,41.0,40.47,40.99,826.571
2025-01-23 23:00:00,40.98,41.55,40.98,41.5,446.085
2025-01-24 00:00:00,41.53,41.62,40.64,40.68,365.716
2025-01-24 01:00:00,40.67,40.99,40.53,40.6,328.615
2025-01-24 02:00:00,40.61,40.72,40.01,40.03,382.304
2025-01-24 03:00:00,40.06,40.52,40.0,40.27,344.888
2025-01-24 04:00:00,40.32,40.79,40.02,40.74,323.641
2025-01-24 05:00:00,40.78,41.68,40.67,41.65,411.088
2025-01-24 06:00:00,41.66,41.69,40.98,41.29,624.131
2025-01-24 07:00:00,41.29,41.52,41.03,41.2,279.908
2025-01-24 08:00:00,41.17,41.52,41.08,41.27,327.971
2025-01-24 09:00:00,41.27,41.44,41.14,41.26,362.729
2025-01-24 10:00:00,41.26,41.52,41.14,41.52,260.281
2025-01-24 11:00:00,41.52,41.67,41.42,41.56,294.408
2025-01-24 12:00:00,41.56,41.67,41.38,41.66,267.672
2025-01-24 13:00:00,41.67,41.75,41.27,41.45,398.679
2025-01-24 14:00:00,41.39,41.55,41.28,41.34,255.261
2025-01-24 15:00:00,41.38,41.41,40.88,40.97,380.931
2025-01-24 16:00:00,40.99,41.04,40.77,40.77,238.992
2025-01-24 17:00:00,40.78,40.97,40.59,40.92,194.95
2025-01-24 18:00:00,40.92,41.09,40.85,40.96,514.049
2025-01-24 19:00:00,40.99,40.99,40.59,40.86,742.727
2025-01-24 20:00:00,40.81,41.24,40.28,40.33,661.881
2025-01-24 21:00:00,40.33,40.58,40.27,40.56,340.892
2025-01-24 22:00:00,40.56,40.93,40.47,40.72,640.146
2025-01-24 23:00:00,40.72,40.72,39.91,40.24,586.899
2025-01-25 00:00:00,40.26,40.34,39.28,39.53,667.86
2025-01-25 01:00:00,39.53,40.1,39.39,39.91,382.146
2025-01-25 02:00:00,39.95,40.1,39.78,39.89,357.522
2025-01-25 03:00:00,39.87,40.09,39.64,40.07,463.211
2025-01-25 04:00:00,40.03,40.04,39.58,39.59,305.415
2025-01-25 05:00:00,39.61,39.81,39.39,39.73,586.848
2025-01-25 06:00:00,39.7,39.84,39.49,39.81,635.91
2025-01-25 07:00:00,39.84,40.49,39.78,40.22,857.668
2025-01-25 08:00:00,40.24,40.9,40.16,40.83,830.228
2025-01-25 09:00:00,40.83,41.0,40.3,40.98,547.804
2025-01-25 10:00:00,40.98,40.99,40.51,40.93,572.676
2025-01-25 11:00:00,40.92,41.3,40.64,41.14,413.757
2025-01-25 12:00:00,41.15,41.16,40.48,40.64,527.258
2025-01-25 13:00:00,40.65,40.92,40.5,40.54,248.063
2025-01-25 14:00:00,40.54,40.99,40.44,40.91,516.357
2025-01-25 15:00:00,40.91,42.22,40.76,41.19,4341.774
2025-01-25 16:00:00,41.15,42.72,41.12,41.49,4995.782
2025-01-25 17:00:00,41.52,42.11,41.37,41.56,2131.95
2025-01-25 18:00:00,41.56,41.62,40.94,41.15,2170.768
2025-01-25 19:00:00,41.15,41.28,40.7,40.71,1157.374
2025-01-25 20:00:00,40.71,41.23,40.64,40.7,1743.557
2025-01-25 21:00:00,40.7,41.06,40.7,40.96,616.558
2025-01-25 22:00:00,40.97,41.21,40.91,41.03,591.449
2025-01-25 23:00:00,41.03,41.12,40.74,40.75,352.177
2025-01-26 00:00:00,40.78,41.26,40.64,41.11,362.039
