open_time,open,high,low,close,volume
2025-01-21 20:00:00,1.276,1.278,1.263,1.267,36277.477
2025-01-21 21:00:00,1.269,1.276,1.261,1.276,46431.558
2025-01-21 22:00:00,1.273,1.281,1.266,1.266,39422.252
2025-01-21 23:00:00,1.267,1.27,1.253,1.268,116543.691
2025-01-22 00:00:00,1.267,1.279,1.261,1.276,68499.987
2025-01-22 01:00:00,1.275,1.275,1.259,1.261,87472.991
2025-01-22 02:00:00,1.261,1.287,1.258,1.278,128395.74
2025-01-22 03:00:00,1.279,1.289,1.27,1.273,117358.056
2025-01-22 04:00:00,1.273,1.28,1.265,1.275,54065.778
2025-01-22 05:00:00,1.275,1.286,1.272,1.274,56705.283
2025-01-22 06:00:00,1.274,1.281,1.269,1.276,140830.313
2025-01-22 07:00:00,1.275,1.277,1.263,1.267,49779.334
2025-01-22 08:00:00,1.269,1.271,1.251,1.269,81229.185
2025-01-22 09:00:00,1.268,1.273,1.262,1.266,22853.588
2025-01-22 10:00:00,1.267,1.273,1.259,1.269,21543.54
2025-01-22 11:00:00,1.271,1.289,1.265,1.281,52659.709
2025-01-22 12:00:00,1.283,1.285,1.272,1.277,39760.482
2025-01-22 13:00:00,1.276,1.277,1.254,1.259,100158.164
2025-01-22 14:00:00,1.259,1.272,1.248,1.261,135932.167
2025-01-22 15:00:00,1.261,1.266,1.244,1.253,140565.579
2025-01-22 16:00:00,1.253,1.261,1.242,1.258,62784.8
2025-01-22 17:00:00,1.256,1.265,1.254,1.263,53843.792
2025-01-22 18:00:00,1.263,1.266,1.24,1.243,53761.781
2025-01-22 19:00:00,1.242,1.261,1.242,1.25,79629.558
2025-01-22 20:00:00,1.251,1.26,1.248,1.249,54009.469
2025-01-22 21:00:00,1.249,1.252,1.238,1.245,86861.665
2025-01-22 22:00:00,1.243,1.248,1.227,1.228,75519.843
2025-01-22 23:00:00,1.227,1.235,1.223,1.232,53576.128
2025-01-23 00:00:00,1.232,1.235,1.222,1.227,48598.88
2025-01-23 01:00:00,1.225,1.227,1.207,1.209,75456.842
2025-01-23 02:00:00,1.21,1.212,1.201,1.207,101085.811
2025-01-23 03:00:00,1.206,1.213,1.2,1.204,116919.451
2025-01-23 04:00:00,1.204,1.206,1.191,1.194,102651.212
2025-01-23 05:00:00,1.195,1.207,1.195,1.203,66310.766
2025-01-23 06:00:00,1.201,1.207,1.194,1.197,53547.806
2025-01-23 07:00:00,1.197,1.218,1.195,1.216,176397.17
2025-01-23 08:00:00,1.216,1.219,1.202,1.203,57040.907
2025-01-23 09:00:00,1.202,1.212,1.199,1.201,40702.861
2025-01-23 10:00:00,1.203,1.204,1.19,1.197,60277.065
2025-01-23 11:00:00,1.196,1.203,1.192,1.199,41085.932
2025-01-23 12:00:00,1.198,1.198,1.186,1.19,64132.857
2025-01-23 13:00:00,1.19,1.213,1.184,1.212,107402.695
2025-01-23 14:00:00,1.209,1.238,1.201,1.228,122227.979
2025-01-23 15:00:00,1.227,1.233,1.202,1.223,217626.569
2025-01-23 16:00:00,1.223,1.246,1.223,1.223,78992.114
2025-01-23 17:00:00,1.222,1.231,1.211,1.229,85104.979
2025-01-23 18:00:00,1.229,1.233,1.203,1.203,64866.186
2025-01-23 19:00:00,1.203,1.205,1.186,1.191,81716.782
2025-01-23 20:00:00,1.191,1.229,1.186,1.208,378115.186
2025-01-23 21:00:00,1.208,1.211,1.19,1.199,95131.309
2025-01-23 22:00:00,1.195,1.228,1.195,1.225,71968.437
2025-01-23 23:00:00,1.226,1.235,1.221,1.228,33572.118
2025-01-24 00:00:00,1.23,1.234,1.201,1.201,41652.42
2025-01-24 01:00:00,1.201,1.212,1.195,1.2,67369.867
2025-01-24 02:00:00,1.2,1.201,1.181,1.184,75463.054
2025-01-24 03:00:00,1.184,1.207,1.183,1.199,72422.534
2025-01-24 04:00:00,1.197,1.221,1.192,1.219,67562.078
2025-01-24 05:00:00,1.219,1.243,1.215,1.242,87446.246
2025-01-24 06:00:00,1.243,1.243,1.228,1.232,87588.172
2025-01-24 07:00:00,1.234,1.241,1.227,1.229,55696.005
2025-01-24 08:00:00,1.231,1.248,1.228,1.243,72449.166
2025-01-24 09:00:00,1.242,1.246,1.235,1.242,38780.283
2025-01-24 10:00:00,1.243,1.249,1.235,1.246,31569.723
2025-01-24 11:00:00,1.247,1.251,1.243,1.247,23088.262
2025-01-24 12:00:00,1.248,1.254,1.241,1.251,75058.756
2025-01-24 13:00:00,1.251,1.265,1.247,1.257,263967.45
2025-01-24 14:00:00,1.258,1.262,1.247,1.25,118206.684
2025-01-24 15:00:00,1.251,1.257,1.236,1.246,132465.694
2025-01-24 16:00:00,1.245,1.245,1.228,1.228,177048.026
2025-01-24 17:00:00,1.228,1.232,1.218,1.23,201499.247
2025-01-24 18:00:00,1.23,1.235,1.22,1.222,42054.501
2025-01-24 19:00:00,1.222,1.224,1.206,1.208,80954.832
2025-01-24 20:00:00,1.209,1.215,1.186,1.186,89551.345
2025-01-24 21:00:00,1.187,1.195,1.184,1.189,69856.7
2025-01-24 22:00:00,1.187,1.189,1.181,1.181,78944.475
2025-01-24 23:00:00,1.181,1.185,1.176,1.185,66443.005
2025-01-25 00:00:00,1.184,1.185,1.168,1.177,333159.667
2025-01-25 01:00:00,1.177,1.213,1.175,1.201,244072.106
2025-01-25 02:00:00,1.201,1.217,1.199,1.214,85478.328
2025-01-25 03:00:00,1.214,1.231,1.209,1.227,36547.611
2025-01-25 04:00:00,1.226,1.226,1.209,1.212,68746.967
2025-01-25 05:00:00,1.212,1.219,1.207,1.215,65563.269
2025-01-25 06:00:00,1.213,1.215,1.2,1.204,61674.793
2025-01-25 07:00:00,1.203,1.211,1.198,1.204,93026.694
2025-01-25 08:00:00,1.204,1.209,1.195,1.199,57968.942
2025-01-25 09:00:00,1.199,1.203,1.196,1.201,21693.794
2025-01-25 10:00:00,1.2,1.206,1.19,1.203,68082.949
2025-01-25 11:00:00,1.202,1.212,1.2,1.21,32393.521
2025-01-25 12:00:00,1.209,1.212,1.2,1.212,19326.176
2025-01-25 13:00:00,1.213,1.216,1.207,1.21,26100.244
2025-01-25 14:00:00,1.209,1.217,1.202,1.217,49005.191
2025-01-25 15:00:00,1.215,1.225,1.205,1.209,328794.816
2025-01-25 16:00:00,1.209,1.216,1.2,1.205,41272.242
2025-01-25 17:00:00,1.206,1.206,1.195,1.206,28766.711
2025-01-25 18:00:00,1.207,1.208,1.2,1.205,32581.109
2025-01-25 19:00:00,1.206,1.207,1.198,1.202,12578.595
2025-01-25 20:00:00,1.204,1.211,1.193,1.193,148638.329
2025-01-25 21:00:00,1.194,1.197,1.188,1.195,61300.493
2025-01-25 22:00:00,1.194,1.201,1.194,1.197,18916.345
2025-01-25 23:00:00,1.197,1.198,1.189,1.19,25823.418
2025-01-26 00:00:00,1.19,1.205,1.188,1.2,54058.749
2025-01-26 01:00:00,1.199,1.206,1.195,1.197,86202.152
2025-01-26 02:00:00,1.196,1.197,1.188,1.194,35345.64
2025-01-26 03:00:00,1.195,1.204,1.192,1.201,38651.269
2025-01-26 04:00:00,1.2,1.209,1.196,1.207,39616.572
2025-01-26 05:00:00,1.205,1.206,1.199,1.202,53218.866
2025-01-26 06:00:00,1.204,1.208,1.2,1.206,51231.131
2025-01-26 07:00:00,1.206,1.211,1.198,1.205,79465.649
2025-01-26 08:00:00,1.206,1.219,1.205,1.209,121396.768
2025-01-26 09:00:00,1.21,1.21,1.189,1.192,153420.944
2025-01-26 10:00:00,1.192,1.201,1.19,1.201,80056.065
2025-01-26 11:00:00,1.202,1.208,1.199,1.206,56914.189
2025-01-26 12:00:00,1.205,1.205,1.199,1.204,27909.248
2025-01-26 13:00:00,1.205,1.21,1.204,1.207,31313.043
2025-01-26 14:00:00,1.207,1.21,1.202,1.208,58808.456
2025-01-26 15:00:00,1.207,1.212,1.206,1.208,27055.943
2025-01-26 16:00:00,1.208,1.215,1.201,1.213,105906.139
2025-01-26 17:00:00,1.212,1.219,1.211,1.217,73691.105
2025-01-26 18:00:00,1.218,1.223,1.214,1.218,49245.448
2025-01-26 19:00:00,1.219,1.226,1.214,1.225,48649.029
2025-01-26 20:00:00,1.225,1.226,1.21,1.212,51467.077
2025-01-26 21:00:00,1.211,1.211,1.198,1.198,30573.252
2025-01-26 22:00:00,1.197,1.203,1.191,1.196,35341.274
2025-01-26 23:00:00,1.192,1.193,1.168,1.169,185141.858
2025-01-27 00:00:00,1.169,1.177,1.154,1.162,399607.354
2025-01-27 01:00:00,1.162,1.166,1.149,1.15,243646.861
2025-01-27 02:00:00,1.149,1.154,1.136,1.145,145525.897
2025-01-27 03:00:00,1.145,1.16,1.142,1.151,71103.245
2025-01-27 04:00:00,1.15,1.15,1.135,1.137,84683.02
2025-01-27 05:00:00,1.137,1.143,1.114,1.126,160732.312
2025-01-27 06:00:00,1.128,1.131,1.098,1.105,268085.909
2025-01-27 07:00:00,1.105,1.109,1.071,1.099,545366.229
2025-01-27 08:00:00,1.099,1.1,1.082,1.1,107644.011
2025-01-27 09:00:00,1.1,1.117,1.097,1.112,147277.014
2025-01-27 10:00:00,1.112,1.115,1.086,1.088,134780.08
2025-01-27 11:00:00,1.089,1.118,1.089,1.101,115103.694
2025-01-27 12:00:00,1.102,1.13,1.095,1.128,130031.775
2025-01-27 13:00:00,1.128,1.141,1.119,1.123,136844.971
2025-01-27 14:00:00,1.121,1.149,1.12,1.146,107946.69
2025-01-27 15:00:00,1.146,1.154,1.132,1.147,101165.285
2025-01-27 16:00:00,1.147,1.153,1.13,1.132,101924.406
2025-01-27 17:00:00,1.132,1.141,1.125,1.13,62538.794
2025-01-27 18:00:00,1.128,1.138,1.117,1.121,81526.171
2025-01-27 19:00:00,1.126,1.143,1.126,1.133,84182.726
2025-01-27 20:00:00,1.135,1.174,1.135,1.169,92398.853
2025-01-27 21:00:00,1.172,1.188,1.161,1.165,139970.218
2025-01-27 22:00:00,1.164,1.171,1.158,1.165,52406.81
2025-01-27 23:00:00,1.165,1.169,1.157,1.165,39247.179
2025-01-28 00:00:00,1.165,1.178,1.157,1.158,83581.621
2025-01-28 01:00:00,1.158,1.158,1.143,1.151,32794.828
2025-01-28 02:00:00,1.151,1.161,1.15,1.157,32253.488
2025-01-28 03:00:00,1.157,1.167,1.15,1.163,104129.77
2025-01-28 04:00:00,1.163,1.172,1.159,1.161,81542.485
2025-01-28 05:00:00,1.162,1.178,1.16,1.166,173763.937
2025-01-28 06:00:00,1.165,1.171,1.161,1.164,48373.786
2025-01-28 07:00:00,1.163,1.174,1.161,1.165,41736.109
2025-01-28 08:00:00,1.163,1.166,1.155,1.166,53615.118
2025-01-28 09:00:00,1.166,1.167,1.151,1.16,60304.505
2025-01-28 10:00:00,1.16,1.163,1.155,1.155,22352.997
2025-01-28 11:00:00,1.155,1.161,1.149,1.155,35505.287
2025-01-28 12:00:00,1.155,1.159,1.14,1.142,58379.244
2025-01-28 13:00:00,1.143,1.154,1.143,1.148,77686.051
2025-01-28 14:00:00,1.149,1.151,1.138,1.146,83353.827
2025-01-28 15:00:00,1.147,1.157,1.139,1.143,138228.677
2025-01-28 16:00:00,1.144,1.145,1.126,1.134,103862.717
2025-01-28 17:00:00,1.135,1.146,1.131,1.138,50997.43
2025-01-28 18:00:00,1.138,1.146,1.126,1.128,83195.139
2025-01-28 19:00:00,1.13,1.131,1.122,1.13,34121.934
2025-01-28 20:00:00,1.13,1.137,1.109,1.111,86930.825
2025-01-28 21:00:00,1.111,1.119,1.092,1.092,77368.77
2025-01-28 22:00:00,1.092,1.101,1.082,1.097,114746.738
2025-01-28 23:00:00,1.096,1.102,1.083,1.092,71370.87
2025-01-29 00:00:00,1.092,1.104,1.086,1.098,52561.991
2025-01-29 01:00:00,1.099,1.12,1.099,1.115,74552.453
2025-01-29 02:00:00,1.115,1.13,1.114,1.12,34965.319
2025-01-29 03:00:00,1.12,1.131,1.117,1.128,47160.732
2025-01-29 04:00:00,1.129,1.132,1.124,1.13,27005.436
