open_time,open,high,low,close,volume
2025-01-21 20:00:00,9.98,10.26,9.97,10.18,50100.11
2025-01-21 21:00:00,10.17,10.2,9.95,10.05,31262.38
2025-01-21 22:00:00,10.05,10.22,9.91,10.0,22931.4
2025-01-21 23:00:00,10.0,10.02,9.84,10.0,20582.27
2025-01-22 00:00:00,10.0,10.0,9.7,9.86,27837.44
2025-01-22 01:00:00,9.86,9.89,9.65,9.67,17932.35
2025-01-22 02:00:00,9.67,9.92,9.65,9.84,14090.84
2025-01-22 03:00:00,9.85,9.89,9.73,9.76,11225.6
2025-01-22 04:00:00,9.76,9.84,9.65,9.75,9920.99
2025-01-22 05:00:00,9.74,9.86,9.68,9.68,7255.15
2025-01-22 06:00:00,9.68,9.74,9.62,9.71,16921.88
2025-01-22 07:00:00,9.72,9.74,9.52,9.55,23278.85
2025-01-22 08:00:00,9.55,9.64,9.51,9.64,45507.3
2025-01-22 09:00:00,9.63,9.66,9.57,9.59,15801.74
2025-01-22 10:00:00,9.59,9.6,9.46,9.51,20436.95
2025-01-22 11:00:00,9.52,9.64,9.46,9.58,20041.03
2025-01-22 12:00:00,9.59,9.65,9.47,9.5,13579.87
2025-01-22 13:00:00,9.49,9.51,9.32,9.36,17844.21
2025-01-22 14:00:00,9.35,9.43,9.27,9.37,20298.56
2025-01-22 15:00:00,9.35,9.4,9.22,9.31,19180.65
2025-01-22 16:00:00,9.31,9.41,9.24,9.39,11480.96
2025-01-22 17:00:00,9.39,9.47,9.36,9.44,10678.34
2025-01-22 18:00:00,9.44,9.48,9.22,9.23,17286.12
2025-01-22 19:00:00,9.23,9.4,9.22,9.33,21536.7
2025-01-22 20:00:00,9.35,9.55,9.33,9.49,22313.08
2025-01-22 21:00:00,9.49,9.49,9.35,9.44,8461.09
2025-01-22 22:00:00,9.42,9.46,9.27,9.27,6191.86
2025-01-22 23:00:00,9.27,9.35,9.23,9.29,7232.55
2025-01-23 00:00:00,9.29,9.3,9.18,9.21,8845.62
2025-01-23 01:00:00,9.19,9.26,9.05,9.08,9872.32
2025-01-23 02:00:00,9.08,9.09,8.99,9.04,18852.75
2025-01-23 03:00:00,9.03,9.11,9.0,9.06,14022.26
2025-01-23 04:00:00,9.05,9.09,8.93,8.95,15442.5
2025-01-23 05:00:00,8.96,9.04,8.88,8.94,48249.69
2025-01-23 06:00:00,8.93,8.95,8.84,8.87,9886.17
2025-01-23 07:00:00,8.87,8.93,8.81,8.89,16696.02
2025-01-23 08:00:00,8.89,8.89,8.66,8.68,24182.8
2025-01-23 09:00:00,8.67,8.76,8.64,8.66,14610.17
2025-01-23 10:00:00,8.67,8.7,8.62,8.67,12908.24
2025-01-23 11:00:00,8.67,8.74,8.62,8.69,7852.34
2025-01-23 12:00:00,8.68,8.68,8.56,8.59,8851.36
2025-01-23 13:00:00,8.6,8.81,8.54,8.75,19835.16
2025-01-23 14:00:00,8.76,9.1,8.7,9.01,25828.7
2025-01-23 15:00:00,9.0,9.08,8.78,8.97,35549.59
2025-01-23 16:00:00,8.98,9.3,8.98,9.08,32796.78
2025-01-23 17:00:00,9.07,9.07,8.91,9.0,24796.48
2025-01-23 18:00:00,9.0,9.07,8.81,8.82,13902.2
2025-01-23 19:00:00,8.82,8.86,8.73,8.8,13364.76
2025-01-23 20:00:00,8.79,9.16,8.74,8.96,41972.14
2025-01-23 21:00:00,8.98,9.02,8.8,8.85,10028.44
2025-01-23 22:00:00,8.83,9.2,8.82,9.17,26490.37
2025-01-23 23:00:00,9.17,9.29,9.07,9.22,17234.96
2025-01-24 00:00:00,9.24,9.56,9.24,9.32,42242.58
2025-01-24 01:00:00,9.32,9.46,9.1,9.16,18234.24
2025-01-24 02:00:00,9.16,9.17,8.89,8.93,12122.93
2025-01-24 03:00:00,8.94,9.16,8.93,9.12,14352.25
2025-01-24 04:00:00,9.11,9.46,9.09,9.4,47707.7
2025-01-24 05:00:00,9.39,9.51,9.29,9.48,37348.13
2025-01-24 06:00:00,9.49,9.5,9.31,9.37,16777.08
2025-01-24 07:00:00,9.37,9.5,9.36,9.43,12808.25
2025-01-24 08:00:00,9.43,9.58,9.38,9.47,17788.2
2025-01-24 09:00:00,9.46,9.5,9.33,9.45,16273.76
2025-01-24 10:00:00,9.44,9.45,9.31,9.37,23127.34
2025-01-24 11:00:00,9.37,9.39,9.28,9.3,11331.05
2025-01-24 12:00:00,9.31,9.38,9.25,9.33,13667.98
2025-01-24 13:00:00,9.34,9.5,9.3,9.42,32479.28
2025-01-24 14:00:00,9.42,9.43,9.26,9.32,23144.52
2025-01-24 15:00:00,9.33,9.39,9.1,9.2,16788.09
2025-01-24 16:00:00,9.2,9.22,9.06,9.07,10304.5
2025-01-24 17:00:00,9.08,9.13,9.02,9.07,20196.26
2025-01-24 18:00:00,9.08,9.1,8.95,8.99,16816.3
2025-01-24 19:00:00,8.98,9.06,8.87,8.89,68118.08
2025-01-24 20:00:00,8.89,8.93,8.76,8.78,12540.19
2025-01-24 21:00:00,8.77,8.83,8.74,8.77,9772.27
2025-01-24 22:00:00,8.77,8.86,8.75,8.76,10608.26
2025-01-24 23:00:00,8.75,8.77,8.67,8.76,16897.68
2025-01-25 00:00:00,8.75,8.75,8.53,8.53,12277.43
2025-01-25 01:00:00,8.54,8.67,8.5,8.63,29230.29
2025-01-25 02:00:00,8.62,8.8,8.6,8.76,9983.73
2025-01-25 03:00:00,8.77,8.88,8.71,8.76,24482.53
2025-01-25 04:00:00,8.77,8.77,8.65,8.68,5951.54
2025-01-25 05:00:00,8.69,8.75,8.63,8.65,6532.35
2025-01-25 06:00:00,8.65,8.69,8.58,8.61,7659.39
2025-01-25 07:00:00,8.61,8.63,8.3,8.43,26964.75
2025-01-25 08:00:00,8.43,8.45,8.31,8.35,23651.14
2025-01-25 09:00:00,8.35,8.36,8.22,8.26,38303.71
2025-01-25 10:00:00,8.26,8.3,8.19,8.28,14675.86
