open_time,open,high,low,close,volume
2025-01-21 20:00:00,20.33,20.37,20.13,20.27,27451.41
2025-01-21 21:00:00,20.27,20.39,20.2,20.3,17843.25
2025-01-21 22:00:00,20.3,20.36,20.16,20.19,15302.25
2025-01-21 23:00:00,20.19,20.31,20.01,20.19,47629.41
2025-01-22 00:00:00,20.18,20.47,20.14,20.41,26411.59
2025-01-22 01:00:00,20.42,20.44,20.12,20.17,26568.24
2025-01-22 02:00:00,20.16,20.3,20.07,20.25,24381.15
2025-01-22 03:00:00,20.26,20.4,20.22,20.33,24069.34
2025-01-22 04:00:00,20.33,20.41,20.06,20.23,30899.23
2025-01-22 05:00:00,20.24,20.4,20.12,20.22,23075.1
2025-01-22 06:00:00,20.22,20.48,20.16,20.41,38889.02
2025-01-22 07:00:00,20.42,20.42,20.17,20.24,35448.95
2025-01-22 08:00:00,20.24,20.46,20.09,20.43,52500.23
2025-01-22 09:00:00,20.44,20.63,20.32,20.51,42435.81
2025-01-22 10:00:00,20.52,20.58,20.26,20.52,40074.53
2025-01-22 11:00:00,20.52,20.85,20.42,20.71,48392.75
2025-01-22 12:00:00,20.71,20.82,20.55,20.69,49012.28
2025-01-22 13:00:00,20.69,20.8,20.38,20.44,79299.87
2025-01-22 14:00:00,20.45,20.74,20.27,20.6,52370.79
2025-01-22 15:00:00,20.61,20.68,20.37,20.64,47076.28
2025-01-22 16:00:00,20.64,21.15,20.49,21.02,133591.57
2025-01-22 17:00:00,21.01,21.45,20.94,21.01,143467.57
2025-01-22 18:00:00,21.01,21.23,20.44,20.45,88350.15
2025-01-22 19:00:00,20.45,20.73,20.45,20.54,52334.33
2025-01-22 20:00:00,20.54,20.69,20.45,20.46,45177.71
2025-01-22 21:00:00,20.46,20.57,20.23,20.48,37792.93
2025-01-22 22:00:00,20.48,20.61,20.21,20.23,32494.5
2025-01-22 23:00:00,20.23,20.37,20.07,20.3,48990.3
2025-01-23 00:00:00,20.3,20.39,20.2,20.36,31635.21
2025-01-23 01:00:00,20.35,20.47,20.09,20.13,32126.52
2025-01-23 02:00:00,20.13,20.28,19.93,20.24,44098.11
2025-01-23 03:00:00,20.24,20.53,20.16,20.25,32231.18
2025-01-23 04:00:00,20.26,20.38,20.14,20.24,52321.27
2025-01-23 05:00:00,20.24,20.33,20.11,20.19,30011.43
2025-01-23 06:00:00,20.2,20.29,20.0,20.04,65980.04
2025-01-23 07:00:00,20.05,20.45,20.05,20.44,52307.07
2025-01-23 08:00:00,20.43,20.58,20.18,20.23,57424.16
2025-01-23 09:00:00,20.22,20.38,20.17,20.3,29744.81
2025-01-23 10:00:00,20.3,20.39,20.1,20.27,38969.43
2025-01-23 11:00:00,20.28,20.45,20.12,20.43,25471.77
2025-01-23 12:00:00,20.42,20.43,19.98,20.04,39446.43
2025-01-23 13:00:00,20.05,20.44,19.99,20.34,50226.36
2025-01-23 14:00:00,20.33,20.58,20.1,20.43,74170.74
2025-01-23 15:00:00,20.43,20.49,20.03,20.44,93137.65
2025-01-23 16:00:00,20.44,20.8,20.43,20.53,68553.8
2025-01-23 17:00:00,20.53,20.66,20.29,20.61,28296.85
