open_time,open,high,low,close,volume
2025-01-21 20:00:00,5.126,5.141,5.087,5.113,3931.32
2025-01-21 21:00:00,5.112,5.186,5.062,5.159,23037.17
2025-01-21 22:00:00,5.159,5.192,5.15,5.192,6883.29
2025-01-21 23:00:00,5.178,5.182,5.054,5.134,10204.76
2025-01-22 00:00:00,5.138,5.184,5.115,5.177,2596.65
2025-01-22 01:00:00,5.175,5.175,5.102,5.113,3904.03
2025-01-22 02:00:00,5.114,5.159,5.094,5.155,2473.53
2025-01-22 03:00:00,5.152,5.206,5.15,5.182,5519.94
2025-01-22 04:00:00,5.182,5.189,5.132,5.168,3218.42
2025-01-22 05:00:00,5.166,5.186,5.15,5.175,3702.83
2025-01-22 06:00:00,5.167,5.185,5.129,5.159,3400.79
2025-01-22 07:00:00,5.169,5.173,5.1,5.123,5400.6
2025-01-22 08:00:00,5.122,5.123,5.05,5.119,6075.37
2025-01-22 09:00:00,5.119,5.127,5.098,5.127,4126.19
2025-01-22 10:00:00,5.126,5.155,5.096,5.149,5158.4
2025-01-22 11:00:00,5.154,5.188,5.106,5.179,8640.03
2025-01-22 12:00:00,5.179,5.189,5.135,5.158,1897.23
2025-01-22 13:00:00,5.158,5.175,5.097,5.106,3597.92
2025-01-22 14:00:00,5.1,5.154,5.033,5.136,12958.0
2025-01-22 15:00:00,5.126,5.127,5.047,5.064,5450.11
2025-01-22 16:00:00,5.063,5.11,5.031,5.109,7676.43
2025-01-22 17:00:00,5.109,5.109,5.06,5.099,4868.68
2025-01-22 18:00:00,5.1,5.1,5.0,5.004,2040.23
2025-01-22 19:00:00,5.0,5.049,4.974,5.021,12187.4
2025-01-22 20:00:00,5.021,5.04,4.976,4.988,2612.56
2025-01-22 21:00:00,4.988,4.988,4.942,4.971,2698.68
2025-01-22 22:00:00,4.97,4.997,4.936,4.952,3249.74
2025-01-22 23:00:00,4.953,5.008,4.942,4.995,2197.37
2025-01-23 00:00:00,4.996,5.003,4.973,4.988,1723.14
2025-01-23 01:00:00,4.988,4.99,4.926,4.928,1457.77
2025-01-23 02:00:00,4.934,4.94,4.909,4.927,1467.01
2025-01-23 03:00:00,4.924,4.951,4.919,4.944,4278.65
2025-01-23 04:00:00,4.945,4.946,4.841,4.893,8628.24
2025-01-23 05:00:00,4.892,4.934,4.888,4.934,3904.22
2025-01-23 06:00:00,4.923,4.947,4.914,4.934,3002.22
2025-01-23 07:00:00,4.934,5.011,4.918,5.011,5927.88
2025-01-23 08:00:00,5.01,5.011,4.908,4.91,5238.66
2025-01-23 09:00:00,4.909,4.951,4.908,4.927,2133.09
2025-01-23 10:00:00,4.924,4.933,4.862,4.907,5010.04
2025-01-23 11:00:00,4.893,4.913,4.857,4.892,11290.07
2025-01-23 12:00:00,4.883,4.902,4.852,4.891,6025.79
2025-01-23 13:00:00,4.881,4.903,4.857,4.875,10169.68
2025-01-23 14:00:00,4.875,5.018,4.86,4.97,16745.0
2025-01-23 15:00:00,4.979,5.003,4.888,4.951,10557.85
2025-01-23 16:00:00,4.942,5.017,4.923,4.927,4705.47
2025-01-23 17:00:00,4.926,4.941,4.87,4.928,7048.86
2025-01-23 18:00:00,4.928,4.941,4.853,4.86,11359.82
2025-01-23 19:00:00,4.86,4.866,4.775,4.79,10145.18
2025-01-23 20:00:00,4.789,4.921,4.777,4.845,9548.68
2025-01-23 21:00:00,4.837,4.857,4.794,4.813,5429.68
2025-01-23 22:00:00,4.813,4.948,4.811,4.941,5454.5
2025-01-23 23:00:00,4.944,4.996,4.929,4.944,4934.11
2025-01-24 00:00:00,4.944,4.963,4.856,4.864,3225.17
2025-01-24 01:00:00,4.857,4.909,4.838,4.838,3120.86
2025-01-24 02:00:00,4.845,4.872,4.798,4.798,4352.17
2025-01-24 03:00:00,4.804,4.893,4.791,4.837,3112.08
2025-01-24 04:00:00,4.842,4.935,4.815,4.935,3276.75
2025-01-24 05:00:00,4.935,4.998,4.921,4.998,3338.16
2025-01-24 06:00:00,4.998,5.02,4.972,4.99,3057.67
2025-01-24 07:00:00,4.991,5.019,4.95,4.974,2558.13
2025-01-24 08:00:00,4.975,5.041,4.965,4.996,3733.97
2025-01-24 09:00:00,4.993,5.043,4.982,5.008,3564.93
2025-01-24 10:00:00,5.014,5.039,5.008,5.038,2159.27
2025-01-24 11:00:00,5.038,5.04,5.021,5.032,1812.3
2025-01-24 12:00:00,5.032,5.049,5.0,5.033,4388.86
2025-01-24 13:00:00,5.033,5.069,5.025,5.036,3051.78
2025-01-24 14:00:00,5.036,5.092,5.034,5.063,5679.72
2025-01-24 15:00:00,5.061,5.071,4.981,5.011,7021.59
2025-01-24 16:00:00,5.014,5.029,4.98,4.993,1972.16
2025-01-24 17:00:00,4.985,4.996,4.921,4.975,6854.35
2025-01-24 18:00:00,4.975,4.996,4.92,4.937,2477.4
2025-01-24 19:00:00,4.938,4.941,4.855,4.878,6230.02
2025-01-24 20:00:00,4.878,4.897,4.806,4.825,3263.98
2025-01-24 21:00:00,4.825,4.844,4.804,4.837,4943.44
2025-01-24 22:00:00,4.837,4.84,4.766,4.816,8060.84
2025-01-24 23:00:00,4.809,4.826,4.758,4.826,5394.74
2025-01-25 00:00:00,4.819,4.827,4.751,4.784,4916.16
2025-01-25 01:00:00,4.776,4.893,4.77,4.882,3357.7
2025-01-25 02:00:00,4.88,4.918,4.875,4.915,5257.0
2025-01-25 03:00:00,4.908,4.985,4.897,4.985,4849.61
2025-01-25 04:00:00,4.975,4.981,4.88,4.9,6565.43
2025-01-25 05:00:00,4.898,4.925,4.88,4.925,2976.04
2025-01-25 06:00:00,4.915,4.939,4.865,4.882,3696.86
2025-01-25 07:00:00,4.88,4.88,4.741,4.797,16018.03
2025-01-25 08:00:00,4.789,4.82,4.771,4.799,3340.55
2025-01-25 09:00:00,4.792,4.805,4.754,4.776,3177.63
2025-01-25 10:00:00,4.783,4.842,4.759,4.823,9218.04
2025-01-25 11:00:00,4.827,4.908,4.818,4.899,5742.36
2025-01-25 12:00:00,4.894,4.9,4.857,4.871,2929.14
2025-01-25 13:00:00,4.881,4.94,4.867,4.868,7335.18
2025-01-25 14:00:00,4.878,4.899,4.854,4.897,2240.4
2025-01-25 15:00:00,4.897,4.949,4.889,4.925,4665.39
2025-01-25 16:00:00,4.925,4.927,4.889,4.889,1682.77
2025-01-25 17:00:00,4.897,4.9,4.85,4.877,2763.47
2025-01-25 18:00:00,4.869,4.898,4.869,4.876,2064.43
2025-01-25 19:00:00,4.885,4.898,4.866,4.867,2251.17
2025-01-25 20:00:00,4.867,4.928,4.864,4.864,4185.86
2025-01-25 21:00:00,4.873,4.908,4.849,4.878,3058.48
2025-01-25 22:00:00,4.88,4.915,4.88,4.898,1352.14
2025-01-25 23:00:00,4.889,4.903,4.852,4.868,2816.82
2025-01-26 00:00:00,4.862,4.908,4.826,4.902,2465.82
2025-01-26 01:00:00,4.902,4.925,4.899,4.914,1852.78
2025-01-26 02:00:00,4.909,4.915,4.877,4.9,799.47
2025-01-26 03:00:00,4.903,4.958,4.902,4.939,1865.62
2025-01-26 04:00:00,4.931,4.979,4.919,4.964,1774.67
2025-01-26 05:00:00,4.969,4.98,4.948,4.966,1027.86
2025-01-26 06:00:00,4.974,4.978,4.937,4.956,2774.22
2025-01-26 07:00:00,4.956,5.05,4.95,5.041,6141.96
2025-01-26 08:00:00,5.043,5.076,4.995,5.007,8171.02
2025-01-26 09:00:00,5.015,5.03,4.967,4.997,6029.27
2025-01-26 10:00:00,4.995,5.024,4.968,5.011,6324.42
2025-01-26 11:00:00,5.009,5.03,4.99,5.028,2573.58
2025-01-26 12:00:00,5.029,5.035,5.002,5.011,2508.21
2025-01-26 13:00:00,5.02,5.034,5.006,5.021,1235.19
2025-01-26 14:00:00,5.027,5.041,5.005,5.018,5043.29
2025-01-26 15:00:00,5.018,5.035,5.002,5.004,1751.97
2025-01-26 16:00:00,5.009,5.015,4.984,5.007,4354.89
2025-01-26 17:00:00,5.018,5.045,4.991,5.043,3318.55
2025-01-26 18:00:00,5.038,5.052,5.021,5.034,1690.87
2025-01-26 19:00:00,5.032,5.05,5.007,5.024,2755.48
2025-01-26 20:00:00,5.024,5.038,5.004,5.012,1488.31
2025-01-26 21:00:00,5.012,5.135,4.963,5.057,51291.29
2025-01-26 22:00:00,5.057,5.059,4.918,4.939,23219.67
2025-01-26 23:00:00,4.939,4.947,4.821,4.833,10341.84
2025-01-27 00:00:00,4.833,4.869,4.773,4.773,11117.65
2025-01-27 01:00:00,4.774,4.801,4.75,4.769,8605.88
2025-01-27 02:00:00,4.777,4.777,4.684,4.711,7429.12
2025-01-27 03:00:00,4.705,4.759,4.696,4.728,3966.2
2025-01-27 04:00:00,4.735,4.739,4.679,4.684,4410.9
2025-01-27 05:00:00,4.679,4.694,4.614,4.65,7440.36
2025-01-27 06:00:00,4.65,4.671,4.552,4.567,14553.52
2025-01-27 07:00:00,4.568,4.577,4.212,4.401,57175.48
2025-01-27 08:00:00,4.419,4.422,4.332,4.387,16636.17
2025-01-27 09:00:00,4.387,4.466,4.377,4.454,12866.53
2025-01-27 10:00:00,4.452,4.453,4.342,4.374,12560.87
2025-01-27 11:00:00,4.371,4.44,4.34,4.411,5680.43
2025-01-27 12:00:00,4.409,4.537,4.397,4.518,6714.66
2025-01-27 13:00:00,4.516,4.605,4.514,4.522,11807.03
2025-01-27 14:00:00,4.521,4.592,4.494,4.575,8216.14
2025-01-27 15:00:00,4.582,4.59,4.519,4.538,11754.18
2025-01-27 16:00:00,4.545,4.564,4.486,4.486,5527.93
2025-01-27 17:00:00,4.494,4.525,4.412,4.442,16269.3
2025-01-27 18:00:00,4.441,4.459,4.39,4.412,7066.03
2025-01-27 19:00:00,4.404,4.472,4.403,4.459,4345.09
2025-01-27 20:00:00,4.454,4.598,4.454,4.59,7858.23
2025-01-27 21:00:00,4.587,4.608,4.508,4.53,19691.7
2025-01-27 22:00:00,4.535,4.575,4.533,4.551,9453.22
2025-01-27 23:00:00,4.555,4.577,4.529,4.577,3943.54
2025-01-28 00:00:00,4.576,4.624,4.576,4.587,8386.01
2025-01-28 01:00:00,4.585,4.604,4.559,4.597,6397.45
2025-01-28 02:00:00,4.597,4.644,4.586,4.641,2423.12
2025-01-28 03:00:00,4.64,4.652,4.615,4.637,1755.22
2025-01-28 04:00:00,4.643,4.697,4.638,4.677,4769.12
2025-01-28 05:00:00,4.671,4.687,4.657,4.677,4753.69
2025-01-28 06:00:00,4.671,4.683,4.65,4.668,2505.21
2025-01-28 07:00:00,4.673,4.679,4.641,4.651,6112.05
2025-01-28 08:00:00,4.657,4.677,4.629,4.658,8404.22
2025-01-28 09:00:00,4.661,4.674,4.628,4.645,4924.78
