,cripto,accuracy,e_aciertos,e_total
0,BTCUSDT,0.8916666666666667,0.24915507818581348,0.0038963582721963284
1,ETHUSDT,0.8833333333333333,0.2506278802998559,0.013237529754887234
2,BNBUSDT,0.8833333333333333,0.25510876946788336,0.002189246624190059
3,USDCUSDT,0.8833333333333333,0.24547869920331747,0.016716143166091126
4,XRPUSDT,0.8833333333333333,0.24799165202846435,0.01416109515614572
5,SOLUSDT,0.8833333333333333,0.24577636987628082,0.015347159838256512
6,DOGEUSDT,0.8916666666666667,0.25184250382791046,0.001563275655038865
7,ADAUSDT,0.8833333333333333,0.2372332351103227,0.09763484006322558
8,LTCUSDT,0.875,0.2499468865213736,0.09126921882970106
9,DOTUSDT,0.8583333333333333,0.2572107207907772,0.11616656012934028
10,MATICUSDT,0.8666666666666667,0.25525478109417554,0.1211826411896055
11,AVAXUSDT,0.875,0.2189452890068775,0.1256764462816327
12,LINKUSDT,0.8666666666666667,0.22380164355931242,0.13194802565920283
13,TRXUSDT,0.8666666666666667,0.02686355741177123,0.31739079053922226
14,ATOMUSDT,0.85,0.025455498743590904,0.2944612025972561
15,SHIBUSDT,0.8583333333333333,0.02829432109987393,0.33147575632032605
16,WBTCUSDT,0.8666666666666667,0.030417655109431643,0.3059119888761933
17,BUSDUSDT,0.8666666666666667,0.0319312475439923,0.262010868608913
18,XLMUSDT,0.85,0.024494079875764723,0.25084119795191967
